time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2
0,224,71,82,0.0,8.837,,30,72.604546,36.99,2.773925E-4
1,224,71,83,6.05,8.838,,30,73.313,36.99,5.54785E-4
2,224,71,83,12.74,8.838,,30,73.833336,36.99,8.321775E-4
3,223,72,84,21.02,8.837,,30,74.03091,36.99,0.00110957
4,223,71,85,29.08,8.837,24,30,74.32,36.99,0.0013869626
5,223,69,84,37.34,8.837,24,31,74.681,36.99,0.001664355
6,224,69,84,47.32,8.837,24,31,74.836365,36.99,0.0019417476
7,224,69,85,54.69,8.835,24,31,74.817,36.99,0.00221914
8,225,69,86,64.82,8.839,24,31,74.74555,36.99,0.0024965326
9,224,70,86,74.18,8.838,24,31,75.03,36.99,0.0027739252
10,223,69,87,83.11,8.837,24,31,75.465,36.99,0.0030513175
11,224,68,88,91.37,8.837,24,31,75.673,36.99,0.00332871
12,225,68,89,100.23,8.837,24,32,75.528,36.99,0.0036061027
13,225,69,91,109.42,8.837,24,31,75.34091,36.99,0.0038834952
14,224,70,91,116.82,8.835,24,31,74.92889,36.99,0.0041608876
15,223,69,92,126.37,8.838,24,31,74.314545,36.99,0.00443828
16,224,69,92,134.42,8.837,24,31,73.47,36.99,0.0047156727
17,226,70,93,144.56,8.838,24,31,72.45,36.99,0.0049930653
18,226,72,93,152.9,8.836,24,30,71.11636,36.99,0.005270458
19,223,72,95,160.3,8.835,24,30,69.871,36.99,0.0055478504
20,222,71,95,170.66,8.839,24,30,68.657776,36.99,0.0058252425
21,223,71,95,180.19,8.838,24,30,67.303635,36.99,0.006102635
22,223,70,96,187.59,8.836,24,30,65.451,36.99,0.0063800276
23,223,70,98,195.48,8.835,24,30,63.843334,36.99,0.00665742
24,223,69,99,205.31,8.839,24,31,62.496365,36.99,0.0069348128
25,224,69,101,214.02,8.838,24,31,61.755,36.99,0.0072122053
26,225,70,102,223.03,8.837,24,31,61.501,36.98,0.007489598
27,225,70,102,231.49,8.837,24,31,61.431,36.98,0.0077669905
28,224,71,103,241.04,8.837,24,30,61.59,36.98,0.008044383
29,224,71,104,250.77,8.838,24,30,61.946,36.98,0.008321775
30,224,71,104,259.64,8.837,24,30,62.102,36.98,0.008599168
31,225,70,105,268.82,8.837,24,31,62.20778,36.98,0.00887656
32,225,71,105,275.23,8.834,24,30,62.054546,36.98,0.009153953
33,224,72,106,282.66,8.837,24,30,61.284,36.98,0.009431345
34,224,72,106,294.26,8.838,24,30,60.15222,36.98,0.009708738
35,225,73,106,303.12,8.837,24,29,58.674545,36.98,0.0099861305
36,224,73,106,312.89,8.838,23,29,56.865555,36.98,0.010263523
37,223,73,106,321.49,8.837,23,29,54.795,36.98,0.010540916
38,223,73,107,330.42,8.838,23,29,52.741817,36.98,0.010818308
39,223,73,108,337.73,8.834,23,29,51.015556,36.98,0.011095701
40,223,71,108,346.61,8.837,23,30,49.52727,36.98,0.011373093
41,223,70,108,356.94,8.839,23,30,48.345554,36.98,0.011650485
42,224,70,109,366.67,8.838,23,31,47.696,36.98,0.011927878
43,225,71,109,374.22,8.829,23,30,47.11,36.98,0.01220527
44,225,72,109,380.99,8.818,23,30,46.77111,36.98,0.012482663
45,224,72,109,391.56,8.849,23,30,46.835453,36.98,0.012760055
46,224,72,109,400.43,8.837,23,30,47.145557,36.98,0.013037448
47,224,71,109,410.19,8.838,23,30,47.482,36.98,0.01331484
48,224,71,109,417.87,8.836,23,30,47.89182,36.98,0.013592233
49,224,71,109,425.28,8.835,23,30,48.09889,36.98,0.0138696255
50,224,72,108,435.61,8.839,23,30,48.584545,36.98,0.014147018
51,224,72,108,445.32,8.838,23,30,49.451,36.98,0.014424411
52,224,72,108,454.23,8.837,23,30,50.357,36.98,0.014701803
53,224,72,109,463.79,8.838,23,30,51.041,36.98,0.014979196
54,224,72,109,471.2,8.836,23,30,51.47111,36.98,0.015256588
55,223,72,109,479.1,8.835,23,30,51.72,36.98,0.015533981
56,224,71,109,488.63,8.838,23,30,52.177,36.98,0.015811373
57,224,71,109,496.89,8.837,23,30,52.497776,36.98,0.016088765
58,224,71,109,506.86,8.837,23,30,52.664,36.98,0.016366158
59,224,71,109,513.99,8.835,23,30,52.904,36.98,0.01664355
60,224,71,109,523.38,8.838,23,30,53.485455,36.98,0.016920943
61,224,71,109,532.63,8.837,23,30,54.264,36.98,0.017198335
62,224,71,109,542.0,8.838,23,30,54.84,36.98,0.017475728
63,224,71,110,550.35,8.836,23,30,54.96909,36.98,0.01775312
64,225,72,110,557.76,8.835,23,30,55.065,36.98,0.018030513
65,224,72,109,567.49,8.838,23,30,55.366665,36.98,0.018307906
66,224,72,109,576.33,8.837,23,30,55.77,36.98,0.018585298
67,224,72,109,586.72,8.839,23,30,56.169,36.98,0.01886269
68,224,72,109,596.49,8.838,23,30,56.303333,36.98,0.019140083
69,223,72,109,603.87,8.836,23,30,56.41909,36.98,0.019417476
70,224,72,109,609.62,8.834,23,30,56.579,36.98,0.019694868
71,224,72,110,620.51,8.838,23,30,56.783333,36.98,0.019972261
72,224,71,109,629.41,8.837,23,30,56.86,36.98,0.020249654
73,224,71,110,639.97,8.838,23,30,56.827778,36.98,0.020527046
74,224,71,110,647.65,8.836,23,30,56.715,36.98,0.020804439
75,225,72,110,655.06,8.835,23,30,56.545456,36.98,0.021081831
76,225,72,110,664.81,8.838,23,30,56.34,36.98,0.021359224
77,225,72,111,673.69,8.837,23,30,56.046665,36.98,0.021636616
78,224,73,111,683.03,8.838,23,29,55.564545,36.98,0.021914009
79,223,73,109,690.47,8.837,23,29,55.37,36.98,0.022191402
80,223,73,108,702.06,8.838,23,29,55.799,36.98,0.022468794
81,224,72,108,709.73,8.836,23,30,56.529,36.98,0.022746187
82,224,72,108,717.12,8.835,23,30,56.90091,36.98,0.02302358
83,224,72,108,726.91,8.838,23,30,57.27,36.98,0.02330097
84,224,72,109,735.78,8.837,23,30,57.49,36.98,0.023578363
85,224,72,109,745.53,8.838,23,30,57.558887,36.98,0.023855755
86,224,72,109,754.37,8.837,23,30,57.602,36.98,0.024133148
87,224,72,110,763.55,8.837,23,30,57.537273,36.98,0.02441054
88,224,72,110,770.16,8.834,23,30,57.531113,36.98,0.024687933
89,224,72,109,778.45,8.837,23,30,57.775,36.98,0.024965325
90,224,73,109,789.01,8.838,23,29,58.090908,36.99,0.025242718
91,224,73,109,797.89,8.837,23,29,58.19,37.0,0.02552011
92,223,72,109,808.24,8.839,23,30,58.327778,37.0,0.025797503
93,224,71,110,817.39,8.837,23,30,58.363636,37.0,0.026074896
94,224,71,113,823.98,8.834,23,30,58.26,37.0,0.026352288
95,225,72,113,832.27,8.836,23,30,58.115555,37.0,0.02662968
96,224,73,113,842.83,8.833,23,29,58.102726,37.0,0.026907073
97,223,72,110,851.44,8.837,23,30,58.218,37.0,0.027184466
98,222,70,108,860.37,8.838,23,30,58.43222,37.0,0.027461858
99,223,70,108,868.27,8.835,23,30,58.51818,37.0,0.027739251
100,224,70,108,878.02,8.838,23,31,58.246,37.0,0.028016644
101,224,70,108,886.88,8.837,23,31,57.93667,37.0,0.028294036
102,224,70,108,895.85,8.837,22,31,57.554546,37.0,0.028571429
103,224,71,108,902.0,8.834,22,30,56.97778,37.0,0.028848821
104,224,71,108,910.93,8.837,22,30,56.87364,37.0,0.029126214
105,225,72,108,921.49,8.838,22,30,56.966667,37.0,0.029403606
106,225,73,108,930.1,8.837,22,29,57.27182,37.0,0.029680999
107,225,74,107,939.47,8.838,22,29,57.559,37.0,0.029958392
108,224,74,107,948.99,8.837,22,29,57.713333,37.01,0.030235784
109,223,74,107,958.13,8.837,22,29,57.967274,37.01,0.030513177
110,222,73,107,964.97,8.834,22,29,58.057,37.01,0.03079057
111,223,73,108,973.85,8.837,22,29,58.355,37.01,0.031067962
112,224,72,108,983.59,8.838,22,30,58.844,37.01,0.031345353
113,224,72,108,992.47,8.837,22,30,59.265556,37.01,0.031622745
114,224,72,108,1002.23,8.838,22,30,59.406,37.01,0.031900138
115,224,72,108,1010.83,8.837,22,30,59.342728,37.01,0.03217753
116,224,72,108,1019.75,8.838,22,30,59.134445,37.01,0.032454923
117,224,72,108,1027.02,8.834,22,30,58.977272,37.01,0.032732315
118,224,72,107,1035.9,8.837,22,30,58.969,37.01,0.033009708
119,223,71,107,1046.3,8.839,22,30,58.95111,37.01,0.0332871
120,223,71,107,1055.45,8.837,22,30,58.43182,37.01,0.033564493
121,224,71,107,1062.26,8.834,22,30,58.105,37.01,0.033841886
122,224,71,106,1070.87,8.837,22,30,58.2,37.01,0.03411928
123,224,70,106,1080.68,8.839,22,31,58.456364,37.01,0.03439667
124,223,69,106,1090.33,8.837,22,31,59.043335,37.01,0.034674063
125,223,69,106,1096.22,8.834,22,31,59.69909,37.01,0.034951456
126,224,69,107,1107.8,8.838,22,31,60.408,37.01,0.03522885
127,224,69,107,1115.47,8.836,22,31,61.168888,37.01,0.03550624
128,224,69,107,1122.89,8.835,22,31,61.877777,37.01,0.035783634
129,224,70,107,1133.22,8.839,22,31,62.271667,37.01,0.036061026
130,224,70,107,1142.95,8.838,22,31,62.209,37.01,0.03633842
131,225,71,106,1151.38,8.837,22,30,62.105556,37.01,0.03661581
132,225,72,106,1160.15,8.838,22,30,61.966362,37.01,0.036893204
133,225,72,105,1169.13,8.836,22,30,61.916,37.01,0.037170596
134,223,71,105,1175.9,8.835,22,30,61.948,37.01,0.03744799
135,223,70,104,1187.06,8.839,22,30,61.543,37.01,0.03772538
136,224,70,105,1196.81,8.838,22,31,61.14,37.01,0.038002774
137,226,72,105,1205.09,8.837,22,30,60.84182,37.01,0.038280167
138,226,73,105,1212.46,8.836,22,30,60.753334,37.01,0.03855756
139,224,73,105,1218.35,8.834,22,29,60.662,37.01,0.03883495
140,223,72,105,1229.93,8.838,22,30,60.784546,37.01,0.039112344
141,223,72,105,1238.82,8.837,22,30,60.844444,37.01,0.039389737
142,224,73,106,1248.34,8.838,22,29,60.35091,37.01,0.03966713
143,224,72,107,1256.23,8.837,22,30,60.034,37.01,0.039944522
144,223,71,107,1265.49,8.838,22,30,59.638,37.01,0.040221915
145,223,71,107,1273.73,8.835,22,30,59.237,37.01,0.040499307
146,224,71,107,1282.92,8.838,22,30,58.924446,37.01,0.0407767
147,224,72,106,1291.42,8.837,22,30,58.583,37.01,0.041054092
148,224,72,105,1300.72,8.838,22,30,58.159092,,0.041331485
149,223,71,103,1308.88,8.836,22,30,57.97,,0.041608877
