time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,140,73,87,6.05,6.046,26,18,,37.07,,15.9,149.0,28.0,0.0,0.0,0.0,15.9,28.0
1,140,73,87,12.0,5.944,26,18,671:675,37.07,32.3,15.7,130.0,22.0,0.0,0.0,0.0,15.7,22.0
2,165,74,88,17.93,5.944,26,21,662,37.07,32.3,15.7,110.0,16.0,0.0,0.0,0.0,15.7,16.0
3,166,75,88,24.1,6.168,26,21,656:660,37.07,32.3,15.7,110.0,16.0,0.0,0.0,0.0,15.7,16.0
4,154,74,89,30.27,6.168,26,20,652,37.07,32.3,15.7,110.0,16.0,0.0,0.0,0.0,15.7,16.0
5,153,74,90,36.44,6.168,26,20,656:651,37.07,32.3,16.2,172.0,30.0,0.0,0.0,0.0,16.2,30.0
6,137,74,90,42.49,6.056,26,18,656,37.07,32.3,16.2,234.0,43.0,0.0,0.0,0.0,16.2,43.0
7,128,74,90,48.55,6.056,26,17,660:660,37.07,32.3,16.2,234.0,43.0,0.0,0.0,0.0,16.2,43.0
8,140,75,90,54.6,6.056,26,18,652,37.07,32.3,17.3,192.0,35.0,0.0,0.0,0.0,17.3,35.0
9,183,73,90,60.66,6.056,26,24,658,37.07,32.3,17.3,192.0,35.0,0.0,0.0,0.0,17.3,35.0
10,204,72,91,68.94,8.276,26,27,652:648,37.07,32.3,18.5,151.0,32.0,0.0,0.0,1.3689254E-4,18.5,32.0
11,205,71,91,77.21,8.276,26,28,652:648,37.07,32.35,18.5,151.0,32.0,0.0,0.0,2.737851E-4,18.5,32.0
12,205,70,91,85.76,8.547,26,28,643,37.07,32.35,20.0,122.0,28.0,0.0,0.0,4.1067763E-4,20.0,28.0
13,205,70,92,94.31,8.547,26,28,644:637,37.07,32.35,24.7,104.0,30.0,0.0,0.0,5.475702E-4,24.7,30.0
14,206,69,92,102.85,8.547,26,29,637,37.07,32.3,24.7,104.0,30.0,0.0,0.0,6.844627E-4,24.7,30.0
15,206,69,93,111.4,8.547,25,29,637:632,37.07,32.3,29.4,95.0,31.0,0.0,0.0,8.2135526E-4,29.4,31.0
16,206,69,94,119.95,8.547,25,29,625:625,37.07,32.3,29.4,95.0,31.0,0.0,0.0,9.5824775E-4,29.4,31.0
17,207,69,94,128.77,8.827,25,29,620,37.07,32.35,29.4,110.0,36.0,0.0,0.0,0.0010951404,29.4,36.0
18,205,70,95,137.6,8.827,25,28,625:620,37.07,32.35,29.4,122.0,34.0,0.0,0.0,0.0012320329,29.4,34.0
19,205,68,95,146.43,8.827,25,29,620,37.07,32.3,29.4,122.0,34.0,0.0,0.0,0.0013689254,29.4,34.0
20,207,67,95,155.25,8.827,25,30,620:620,37.07,32.35,29.4,122.0,27.0,0.0,0.0,0.001505818,29.4,27.0
21,207,68,95,164.09,8.827,25,29,620,37.07,32.35,30.8,133.0,34.0,0.0,0.0,0.0016427105,30.8,34.0
22,205,68,96,172.91,8.827,25,29,620:620,37.07,32.35,29.6,143.0,38.0,0.0,0.0,0.001779603,29.6,38.0
23,206,68,96,181.74,8.827,25,29,620:616,37.07,32.3,29.6,154.0,43.0,0.0,0.0,0.0019164955,29.6,43.0
24,205,69,96,190.56,8.827,25,28,616,37.07,32.3,29.6,136.0,40.0,0.0,0.0,0.0020533882,29.6,40.0
25,206,68,96,199.4,8.827,25,29,612:611,37.07,32.35,29.6,136.0,40.0,0.0,0.0,0.0021902807,29.6,40.0
26,205,67,97,208.21,8.827,25,29,605,37.07,32.35,29.6,119.0,37.0,0.0,0.0,0.0023271732,29.6,37.0
27,203,67,97,217.04,8.827,25,29,605:601,37.07,32.35,29.6,119.0,37.0,0.0,0.0,0.0024640658,29.6,37.0
28,204,67,98,225.87,8.827,25,29,601:597,37.07,32.3,29.6,93.0,29.0,0.0,0.0,0.0026009583,29.6,29.0
29,208,66,99,234.69,8.827,25,30,1184,37.07,32.3,29.6,89.0,27.0,0.0,0.0,0.0027378509,29.6,27.0
30,209,66,99,243.52,8.827,25,30,589,37.07,32.35,29.6,89.0,27.0,0.0,0.0,0.0028747434,29.6,27.0
31,207,68,100,252.35,8.827,25,29,597:593,37.07,32.35,29.6,85.0,24.0,0.0,0.0,0.003011636,29.6,24.0
32,204,70,100,261.18,8.827,25,28,588:589,37.07,32.35,29.6,85.0,24.0,0.0,0.0,0.0031485285,29.6,24.0
33,204,72,101,270.0,8.827,25,27,586:586,37.07,32.3,30.3,266.0,80.0,0.0,0.0,0.003285421,30.3,80.0
34,205,70,101,278.83,8.827,25,28,586,37.07,32.35,30.3,266.0,80.0,0.0,0.0,0.0034223134,30.3,80.0
35,207,70,101,287.66,8.827,25,28,584:582,37.07,32.35,30.5,201.0,60.0,0.0,0.0,0.003559206,30.5,60.0
36,206,70,102,296.48,8.827,25,28,578:574,37.07,32.35,30.5,201.0,60.0,0.0,0.0,0.0036960985,30.5,60.0
37,207,71,102,305.31,8.827,25,28,569,37.07,32.3,30.5,201.0,60.0,0.0,0.0,0.003832991,30.5,60.0
38,206,71,103,314.14,8.827,25,28,569:577,37.07,32.35,30.5,135.0,39.0,0.0,0.0,0.0039698835,30.5,39.0
39,205,70,103,322.96,8.827,25,28,578:578,37.07,32.35,30.5,135.0,39.0,0.0,0.0,0.0041067763,30.5,39.0
40,206,70,103,332.03,8.827,25,28,574,37.07,32.35,30.5,135.0,39.0,0.0,0.0,0.0042436686,30.5,39.0
41,206,70,104,340.63,8.827,25,28,578:569,37.07,32.35,28.9,282.0,43.0,0.0,0.0,0.0043805614,28.9,43.0
42,205,70,104,349.96,8.827,25,28,573:565,37.07,32.35,28.9,282.0,43.0,0.0,0.0,0.0045174537,28.9,43.0
43,206,70,104,358.01,8.547,25,28,565:565,37.07,32.35,25.2,207.0,34.0,0.0,0.0,0.0046543465,25.2,34.0
44,206,68,105,366.55,8.547,25,29,563:561,37.07,32.35,25.2,207.0,34.0,0.0,0.0,0.004791239,25.2,34.0
45,206,69,105,374.83,8.276,25,29,559,37.07,32.35,24.6,181.0,34.0,0.0,0.0,0.0049281316,24.6,34.0
46,208,70,106,383.11,8.276,25,28,559:559,37.08,32.35,24.6,131.0,30.0,0.0,0.0,0.005065024,24.6,30.0
47,206,70,106,391.39,8.276,25,28,555:555,37.08,32.35,22.2,156.0,37.0,0.0,0.0,0.0052019167,22.2,37.0
48,205,70,107,399.66,8.276,25,28,554:550,37.08,32.35,22.2,156.0,37.0,0.0,0.0,0.005338809,22.2,37.0
49,206,68,108,407.94,8.276,25,29,546:542,37.08,32.3,22.2,156.0,37.0,0.0,0.0,0.0054757018,22.2,37.0
50,204,68,108,416.22,8.276,25,29,555:559,37.08,32.35,22.2,181.0,39.0,0.0,0.0,0.005612594,22.2,39.0
51,203,67,108,424.49,8.276,25,29,561,37.08,32.35,22.2,181.0,39.0,0.0,0.0,0.005749487,22.2,39.0
52,206,66,107,432.76,8.276,25,30,563:563,37.08,32.3,22.2,181.0,39.0,0.0,0.0,0.005886379,22.2,39.0
53,208,67,107,441.6,8.827,25,30,559:559,37.08,32.35,18.6,384.0,58.0,0.0,0.0,0.006023272,18.6,58.0
54,210,66,108,450.42,8.827,25,30,555:550,37.08,32.35,18.6,384.0,58.0,0.0,0.0,0.0061601643,18.6,58.0
55,206,67,108,459.25,8.827,25,29,563:559,37.08,32.35,18.6,384.0,58.0,0.0,0.0,0.006297057,18.6,58.0
56,204,67,107,468.07,8.827,25,29,559,37.08,32.3,18.6,384.0,58.0,0.0,0.0,0.0064339493,18.6,58.0
57,203,66,108,476.35,8.276,25,29,555:546,37.09,32.35,18.6,304.0,44.0,0.0,0.0,0.006570842,18.6,44.0
58,205,66,108,484.62,8.276,25,30,550,37.09,32.35,18.6,224.0,29.0,0.0,0.0,0.0067077344,18.6,29.0
59,209,65,108,493.45,8.827,25,31,550:550:550,37.09,32.3,18.6,224.0,29.0,0.0,0.0,0.0068446267,18.6,29.0
60,205,68,108,502.28,8.827,25,29,550,37.09,32.3,18.6,224.0,29.0,0.0,0.0,0.0069815195,18.6,29.0
61,207,68,109,511.11,8.827,25,29,555:546,37.09,32.3,17.0,354.0,49.0,0.0,0.0,0.007118412,17.0,49.0
62,207,72,109,519.93,8.827,25,27,546:546,37.09,32.35,17.0,484.0,68.0,0.0,0.0,0.0072553046,17.0,68.0
63,204,72,109,528.76,8.827,25,27,546:546,37.09,32.3,16.4,306.0,47.0,0.0,0.0,0.007392197,16.4,47.0
64,204,72,109,537.04,8.276,25,27,542:537,37.09,32.3,16.4,306.0,47.0,0.0,0.0,0.0075290897,16.4,47.0
65,208,70,110,545.31,8.276,25,28,538:538,37.09,32.3,15.2,266.0,41.0,0.0,0.0,0.007665982,15.2,41.0
66,209,71,110,553.59,8.276,25,28,538,37.09,32.3,15.2,157.0,28.0,0.0,0.0,0.007802875,15.2,28.0
67,204,72,111,562.41,8.827,25,27,535:531:533,37.09,32.35,16.8,167.0,38.0,0.0,0.0,0.007939767,16.8,38.0
68,206,73,111,571.24,8.827,25,27,531:531,37.09,32.35,16.8,187.0,45.0,0.0,0.0,0.008076659,16.8,45.0
69,205,71,112,580.08,8.827,25,28,531,37.09,32.3,20.8,174.0,42.0,0.0,0.0,0.008213553,20.8,42.0
70,205,71,112,588.9,8.827,25,28,523:527,37.09,32.3,20.8,168.0,48.0,0.0,0.0,0.008350445,20.8,48.0
71,206,71,112,597.73,8.827,25,28,526:546,37.09,32.3,20.8,168.0,48.0,0.0,0.0,0.008487337,20.8,48.0
