time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,200,69,92,0.0,8.28,,28,37.08
1,201,69,92,4.36,8.28,,28,37.08
2,203,69,93,9.44,8.28,,28,37.08
3,202,71,93,19.89,8.28,22,27,37.08
4,199,71,93,25.9,8.28,22,27,37.08
5,199,70,93,31.08,8.28,22,27,37.08
6,199,67,93,39.26,8.28,22,28,37.08
7,200,65,92,50.66,8.28,22,29,37.08
8,201,65,93,60.06,8.28,22,30,37.08
9,202,66,93,66.98,8.28,22,29,37.08
10,202,67,94,74.55,8.28,22,29,37.08
11,201,68,95,86.13,8.28,22,28,37.08
12,200,67,96,92.77,8.28,22,29,37.08
13,201,67,97,101.48,8.28,22,29,37.08
14,201,68,99,110.98,8.28,22,28,37.08
15,201,68,100,117.62,8.28,22,28,37.08
16,200,68,100,125.47,8.28,22,28,37.08
17,200,67,102,132.17,8.28,22,29,37.08
18,200,67,102,140.77,8.28,22,29,37.08
19,201,67,102,151.16,8.302,22,29,37.08
20,203,68,102,160.67,8.365,22,29,37.08
21,202,69,102,167.3,8.28,22,28,37.08
22,201,69,103,176.0,8.28,22,28,37.08
23,201,69,103,185.51,8.28,22,28,37.08
24,201,69,103,192.15,8.28,22,28,37.08
25,201,69,105,200.86,8.28,22,28,37.08
26,201,68,105,210.34,8.28,22,28,37.08
27,200,67,105,216.99,8.28,22,29,37.08
28,200,67,106,225.7,8.28,22,29,37.08
29,202,68,106,235.19,8.28,22,28,37.08
30,202,68,107,241.82,8.28,22,28,37.08
31,200,68,107,250.33,8.28,22,28,37.08
32,200,68,106,259.72,8.28,22,28,37.08
33,201,68,106,268.31,8.28,22,28,37.08
34,202,69,106,275.18,8.28,22,28,37.08
35,201,69,105,284.24,8.28,22,28,37.08
36,200,68,105,290.73,8.28,22,28,37.08
37,201,68,105,300.22,8.28,22,28,37.08
38,201,68,105,310.14,8.28,22,28,37.08
39,201,68,105,317.99,8.28,22,28,37.08
40,202,69,105,324.63,8.28,22,28,37.08
41,202,69,106,333.34,8.28,22,28,37.08
42,201,69,106,342.83,8.28,22,28,37.08
43,201,70,106,349.47,8.28,22,27,37.08
44,201,70,106,357.75,8.28,22,27,37.08
45,201,70,106,366.45,8.28,22,27,37.08
46,201,70,106,375.82,8.28,22,27,37.08
47,200,69,107,381.75,8.28,22,28,37.08
48,200,69,107,390.26,8.28,22,28,37.08
49,201,69,107,400.16,8.28,22,28,37.08
50,201,69,108,406.6,8.28,22,28,37.08
51,201,68,108,415.22,8.28,22,28,37.08
52,200,68,108,426.05,8.28,22,28,37.08
53,201,68,108,433.92,8.28,22,28,37.08
54,202,69,108,440.55,8.28,22,28,37.08
55,201,69,108,449.25,8.28,22,28,37.08
56,200,68,108,458.75,8.28,22,28,37.08
57,200,67,107,465.82,8.28,22,29,37.08
58,200,67,107,475.32,8.28,22,29,37.08
59,201,67,108,481.95,8.28,22,29,37.08
60,202,68,108,489.94,8.28,22,28,37.08
61,203,68,108,496.77,8.28,22,29,37.08
62,202,68,108,507.89,8.28,22,28,37.08
63,201,69,108,515.06,8.28,22,28,37.08
64,200,69,108,523.73,8.28,22,28,37.08
65,200,69,108,533.28,8.28,22,28,37.08
66,201,68,109,539.91,8.28,22,28,37.08
67,201,68,109,548.42,8.28,22,28,37.08
68,201,69,109,557.81,8.28,22,28,37.08
69,202,69,108,566.39,8.28,22,28,37.08
70,202,70,108,573.03,8.28,22,28,37.08
71,200,70,108,581.73,8.28,22,27,37.08
72,200,69,108,591.12,8.28,22,28,37.08
73,201,69,108,597.15,8.28,22,28,37.08
74,201,69,108,606.16,8.28,22,28,37.09
75,201,69,107,614.86,8.28,22,28,37.09
76,201,70,107,624.24,8.28,22,27,37.09
77,201,70,106,630.26,8.28,22,27,37.09
78,200,69,106,639.7,8.28,22,28,37.09
79,200,68,106,649.2,8.28,21,28,37.09
80,201,68,107,655.68,8.305,21,28,37.09
81,203,69,107,663.38,8.399,21,28,37.09
82,202,69,108,672.83,8.28,21,28,37.09
83,200,69,112,682.32,8.28,21,28,37.09
84,200,68,112,689.39,8.28,21,28,37.09
85,200,68,112,699.31,8.28,21,28,37.09
86,201,68,110,707.15,8.28,21,28,37.09
87,202,69,107,713.64,8.28,21,28,37.09
88,202,70,105,721.46,8.28,21,28,37.09
89,201,70,105,731.57,8.28,21,27,37.09
90,200,70,104,739.66,8.28,21,27,37.09
91,200,69,103,746.3,8.28,21,28,37.09
92,200,68,104,756.54,8.28,21,28,37.09
93,201,68,106,765.01,8.28,21,28,37.09
94,201,68,107,771.03,8.28,21,28,37.09
95,201,68,107,780.47,8.28,21,28,37.09
96,202,69,107,789.96,8.28,21,28,37.09
97,202,69,107,796.3,8.28,21,28,37.09
