time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,skin_temperature,respiration,tidal_volume,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,241,69,98,0.0,9.469,,33,65.21455,37.15,,,176.0,0.0,1.3331555E-4,13.57,30.79
1,242,70,98,4.09,9.467,23,33,65.427,37.15,31.5,,176.8,0.0,2.666311E-4,13.72,31.12
2,242,71,98,11.21,9.402,23,33,65.82,37.15,31.55,,177.7,0.0,3.9994667E-4,13.87,31.45
3,240,71,99,21.57,9.09,23,32,65.986664,37.15,31.55,,178.6,0.0,5.332622E-4,14.02,31.78
4,239,71,99,31.09,8.834,23,32,66.03636,37.15,31.5,,179.5,0.0,6.665778E-4,14.17,32.11
5,238,70,99,39.47,8.91,23,32,66.007,37.15,31.5,21.26,180.7,0.0,7.9989334E-4,14.35,32.52
6,240,69,98,48.47,9.247,23,33,66.047,37.15,31.5,21.26,182.1,0.0,9.332089E-4,14.59,33.04
7,240,69,99,58.82,9.339,23,33,66.135,37.15,31.5,21.26,183.5,0.0,0.0010665244,14.82,33.56
8,239,69,100,67.16,9.024,23,33,66.391,37.15,31.5,21.26,184.9,0.0,0.00119984,15.06,34.08
9,239,69,100,75.35,9.073,23,33,66.773,37.15,31.55,21.26,186.2,0.0,0.0013331556,15.28,34.56
10,240,69,100,85.73,9.399,23,33,67.238,37.15,31.5,19.49,187.5,0.0,0.0014664711,15.5,35.05
11,240,69,100,94.42,9.402,23,33,67.764,37.15,31.55,19.49,188.8,0.0,0.0015997867,15.72,35.53
12,239,68,100,103.04,9.138,23,34,68.243,37.16,31.55,19.49,190.2,0.0,0.0017331023,15.95,36.04
13,240,67,100,112.7,9.039,23,34,68.571,37.16,31.55,19.49,191.7,0.0,0.0018664178,16.2,36.59
14,242,67,100,120.9,9.358,23,34,68.82222,37.16,31.55,19.49,193.2,0.0,0.0019997333,16.45,37.15
15,241,68,100,131.28,9.339,23,34,69.038185,37.16,31.55,19.68,194.8,0.0,0.0021330488,16.71,37.71
16,240,69,100,140.63,9.25,23,33,68.885,37.16,31.55,19.68,196.6,0.0,0.0022663644,17.01,38.38
17,240,69,101,149.92,9.384,23,33,68.274,37.16,31.55,19.68,198.4,0.0,0.00239968,17.31,39.05
18,241,69,102,160.24,9.469,23,33,67.291,37.16,31.55,19.68,200.6,0.0,0.0025329955,17.68,39.86
19,241,69,103,169.43,9.419,23,33,66.111,37.16,31.55,19.68,203.8,0.0,0.002666311,18.21,41.02
20,240,70,106,177.58,9.202,23,33,64.568,37.16,31.55,19.42,205.7,0.0,0.0027996267,18.52,41.72
21,239,71,107,187.15,8.836,23,32,62.878,37.16,31.55,19.42,207.1,0.0,0.0029329422,18.77,42.25
22,239,70,107,197.52,9.078,23,33,61.027,37.16,31.55,19.42,208.6,0.0,0.0030662578,19.01,42.79
23,240,69,108,205.87,9.191,23,33,59.068,37.16,31.55,19.42,210.4,0.0,0.0031995734,19.23,43.46
24,240,69,109,214.08,9.181,23,33,57.018,37.16,31.55,19.42,212.8,0.0,0.003332889,19.43,44.34
25,240,69,110,224.43,9.399,23,33,54.98111,37.16,31.55,19.64,215.2,0.0,0.0034662045,19.62,45.23
26,241,69,111,232.78,9.468,23,33,52.84909,37.16,31.55,19.64,217.6,0.0,0.00359952,19.83,46.1
27,241,70,112,241.0,9.468,23,33,50.683,37.16,31.55,19.64,219.6,0.0,0.0037328356,20.0,46.85
28,241,71,112,251.35,9.339,23,32,48.744,37.16,31.55,19.64,220.8,0.0,0.0038661512,20.09,47.29
29,241,71,112,261.69,9.331,23,32,47.184444,37.16,31.55,19.64,222.0,0.0,0.0039994665,20.18,47.73
30,242,72,113,272.04,9.469,23,32,45.914547,37.16,31.55,20.57,223.2,0.0,0.004132782,20.27,48.16
31,242,73,113,281.39,9.466,23,32,44.99,37.16,31.55,20.57,224.3,0.0,0.0042660977,20.37,48.59
32,240,75,112,290.67,9.216,23,31,44.363,37.16,31.55,20.57,225.4,0.0,0.0043994132,20.48,48.97
33,239,75,112,299.0,8.896,23,30,44.074,37.16,31.55,20.57,226.4,0.0,0.004532729,20.6,49.35
34,239,74,112,305.85,8.835,23,31,44.062,37.16,31.55,20.57,227.5,0.0,0.0046660444,20.71,49.73
35,239,73,113,314.93,8.94,23,31,44.266,37.17,31.55,21.59,228.5,0.0,0.00479936,20.82,50.11
36,239,73,113,325.87,8.962,23,31,44.621,37.17,31.55,21.59,229.6,0.0,0.0049326755,20.97,50.52
37,239,71,113,334.21,8.836,23,32,44.731,37.17,31.55,21.59,230.8,0.0,0.005065991,21.17,50.98
38,239,70,114,342.43,8.836,23,33,44.725,37.17,31.55,21.59,232.1,0.0,0.0051993066,21.36,51.43
39,239,69,115,352.78,8.955,23,33,44.807,37.17,31.5,21.59,233.3,0.0,0.005332622,21.56,51.88
40,241,69,115,360.85,9.25,23,33,45.137,37.17,31.55,21.48,234.8,0.0,0.005465938,21.79,52.43
