time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,216,74,93,0.0,8.839,,28,36.97
1,215,73,93,6.36,8.837,,28,36.97
2,215,72,93,12.6,8.835,,29,36.97
3,215,72,93,21.71,8.837,,29,36.97
4,215,71,93,31.42,8.839,24,29,36.97
5,215,70,93,39.3,8.835,24,29,36.97
6,214,69,95,48.62,8.837,24,30,36.97
7,215,69,95,58.98,8.839,24,30,36.97
8,216,69,95,66.43,8.835,24,30,36.97
9,216,69,96,74.08,8.836,24,30,36.97
10,217,70,97,83.14,8.838,24,30,36.97
11,217,71,98,93.13,8.839,24,29,36.97
12,217,72,98,102.24,8.837,24,29,36.97
13,216,73,99,108.66,8.835,24,28,36.97
14,217,73,100,117.63,8.836,24,28,36.98
15,216,72,101,129.34,8.839,24,29,36.99
16,215,71,101,138.26,8.837,24,29,37.01
17,215,70,103,145.09,8.835,24,29,37.01
18,215,69,104,154.19,8.837,24,30,37.01
19,215,69,105,163.32,8.839,24,30,37.01
20,217,69,105,171.52,8.835,24,30,37.01
21,217,70,106,181.1,8.837,24,30,37.01
22,216,70,106,191.45,8.839,24,29,37.01
23,215,69,107,198.91,8.835,24,30,37.01
24,215,69,108,208.01,8.837,24,30,37.01
25,216,69,108,216.92,8.837,24,30,37.01
26,216,68,108,225.2,8.837,24,30,37.01
27,215,67,108,234.92,8.838,24,31,37.01
28,215,67,108,243.83,8.837,24,31,37.01
29,216,68,108,252.07,8.837,24,30,37.01
30,218,69,109,260.35,8.837,24,30,37.01
31,219,71,108,270.1,8.838,24,29,37.01
32,217,70,108,280.48,8.839,24,30,37.01
33,215,69,108,287.94,8.835,24,30,37.01
34,215,69,109,296.38,8.837,24,30,37.01
35,215,69,109,305.65,8.837,24,30,37.01
36,216,69,108,312.37,8.835,24,30,37.01
37,217,69,108,320.83,8.837,24,30,37.01
38,217,70,108,331.19,8.839,24,30,37.01
39,216,70,108,339.05,8.836,24,29,37.01
40,216,70,108,347.7,8.837,24,29,37.01
41,215,70,109,356.81,8.837,24,29,37.01
42,216,70,110,365.8,8.838,24,29,37.01
43,216,70,111,373.98,8.836,24,29,37.01
44,215,70,111,382.95,8.837,24,29,37.01
45,215,69,111,393.26,8.839,24,30,37.01
46,215,69,111,401.57,8.835,24,30,37.01
47,215,69,111,410.89,8.837,24,30,37.01
48,216,69,111,419.79,8.837,24,30,37.01
49,217,70,110,428.07,8.837,24,30,37.02
50,215,70,110,437.79,8.838,24,29,37.02
51,214,69,111,446.7,8.837,24,30,37.02
52,216,68,111,453.53,8.835,24,30,37.02
53,218,69,111,461.98,8.837,24,30,37.02
54,218,70,111,471.39,8.839,24,30,37.02
55,216,70,111,480.69,8.838,24,29,37.02
56,216,70,112,489.34,8.837,24,29,37.02
