time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,0,0,89,,,,,37.04
1,201,69,89,0.0,8.28,,28,37.04
2,200,69,89,5.04,8.28,,28,37.04
3,200,68,90,14.16,8.28,,28,37.04
4,200,67,90,22.92,8.28,,29,37.04
5,201,67,90,30.56,8.28,25,29,37.04
6,200,66,91,39.23,8.28,25,29,37.04
7,200,65,91,47.74,8.28,25,29,37.04
8,200,65,91,55.45,8.28,25,29,37.04
9,200,65,91,62.57,8.28,25,29,37.04
10,200,64,92,72.11,8.28,25,30,37.04
11,201,64,92,79.28,8.28,25,30,37.04
12,201,64,93,88.66,8.28,25,30,37.04
13,200,63,94,96.81,8.28,25,30,37.04
14,201,63,96,105.47,8.28,25,30,37.04
15,202,63,97,113.98,8.28,25,31,37.04
16,202,64,97,121.22,8.28,25,30,37.04
17,201,65,97,129.43,8.28,25,30,37.04
18,200,64,100,138.61,8.28,25,30,37.04
19,200,64,101,147.1,8.28,25,30,37.04
20,201,64,103,155.37,8.28,25,30,37.04
21,202,65,104,162.07,8.28,25,30,37.04
22,201,65,106,170.76,8.28,25,30,37.04
23,200,65,106,178.48,8.28,25,29,37.04
24,200,65,106,188.02,8.28,25,29,37.04
25,201,65,105,195.21,8.28,25,30,37.05
26,201,65,104,204.58,8.28,25,30,37.05
27,202,65,104,211.76,8.28,25,30,37.05
28,201,64,103,221.09,8.28,25,30,37.05
29,199,64,103,228.28,8.28,25,30,37.05
30,199,63,103,237.67,8.28,25,30,37.05
31,201,63,104,244.87,8.28,25,30,37.05
32,202,63,104,254.26,8.28,25,31,37.05
33,202,63,104,260.65,8.28,25,31,37.05
34,200,63,104,270.24,8.28,25,30,37.05
35,200,62,103,279.59,8.28,25,31,37.05
36,199,61,103,286.28,8.28,25,31,37.05
37,199,60,104,295.66,8.28,25,32,37.05
38,201,60,104,304.42,8.28,25,32,37.05
39,202,61,105,312.71,8.28,25,32,37.05
40,203,62,105,320.99,8.593,25,31,37.05
41,203,63,105,330.87,8.375,25,31,37.05
42,202,64,105,337.61,8.28,25,30,37.05
