time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,214,71,87,0.0,8.837,,29,37.0
1,215,71,87,6.9,8.838,,29,37.0
2,216,71,87,13.43,8.836,23,29,37.0
3,216,71,87,21.69,8.836,23,29,37.0
4,216,70,90,31.04,8.838,23,29,37.0
5,215,69,90,39.32,8.837,23,30,37.0
6,215,69,90,47.6,8.837,23,30,37.0
7,216,68,89,56.88,8.838,23,30,37.0
8,216,68,89,67.21,8.839,23,30,37.0
9,216,68,89,75.53,8.836,23,30,37.0
10,216,68,89,83.79,8.836,23,30,37.0
11,216,68,91,93.29,8.839,23,30,37.0
12,216,68,92,101.66,8.837,23,30,37.0
13,216,68,92,110.69,8.836,23,30,37.0
14,216,68,94,120.02,8.838,23,30,37.0
15,216,68,94,128.3,8.837,23,30,37.0
16,216,68,95,136.58,8.837,23,30,37.0
17,216,68,97,145.89,8.838,23,30,37.0
18,216,69,98,154.19,8.836,23,30,37.0
19,217,69,99,161.99,8.836,23,30,37.0
20,215,69,99,171.77,8.839,23,30,37.0
21,215,69,100,180.48,8.837,23,30,37.0
22,215,68,102,188.3,8.836,23,30,37.0
23,215,67,102,198.67,8.839,23,31,37.0
24,217,68,103,208.56,8.838,23,30,37.0
25,218,69,104,216.0,8.835,23,30,37.0
26,217,69,104,223.51,8.836,23,30,37.0
27,215,70,104,233.86,8.839,23,29,37.0
28,215,69,103,242.58,8.837,23,30,37.0
29,215,69,103,250.44,8.836,23,30,37.0
30,216,69,103,259.96,8.838,23,30,37.0
31,216,68,103,269.05,8.837,23,30,37.0
32,216,69,103,277.77,8.837,23,30,37.0
33,215,69,103,285.63,8.836,23,30,37.0
34,215,69,103,296.39,8.839,23,30,37.0
35,216,69,104,305.28,8.836,23,30,37.0
36,216,68,105,313.56,8.836,23,30,37.0
37,216,68,105,323.91,8.839,23,30,37.01
38,215,68,106,332.21,8.836,23,30,37.01
39,216,68,106,339.45,8.835,23,30,37.01
40,218,69,106,348.75,8.838,23,30,37.01
41,217,69,106,357.05,8.836,23,30,37.01
42,216,69,106,365.32,8.836,23,30,37.01
43,216,69,106,375.67,8.839,23,30,37.01
44,217,70,105,384.99,8.838,23,30,37.01
45,216,70,104,392.24,8.835,23,29,37.01
46,216,70,102,400.51,8.836,23,29,37.01
47,216,70,103,410.87,8.839,23,29,37.01
48,216,70,103,420.19,8.838,23,29,37.01
49,216,70,104,428.46,8.837,23,29,37.01
50,216,70,105,436.74,8.837,23,29,37.01
51,216,70,106,446.04,8.838,23,29,37.01
52,217,71,107,455.37,8.838,23,29,37.01
53,216,71,108,464.67,8.838,23,29,37.01
54,216,71,109,472.97,8.836,23,29,37.01
55,217,72,109,480.21,8.835,23,29,37.01
56,217,72,110,489.51,8.838,23,29,37.01
57,216,72,110,499.88,8.839,23,29,37.01
58,215,71,109,509.17,8.838,23,29,37.01
59,216,71,109,516.42,8.835,23,29,37.01
60,217,72,109,524.65,8.836,23,29,37.01
61,217,72,109,533.97,8.838,23,29,37.01
62,216,71,108,543.32,8.838,23,29,37.01
63,216,71,107,552.63,8.838,23,29,37.01
64,217,72,107,561.93,8.838,23,29,37.01
65,216,72,107,569.98,8.836,23,29,37.01
66,217,72,107,577.05,8.835,23,29,37.01
67,216,72,107,586.82,8.838,23,29,37.01
68,216,72,107,596.14,8.838,23,29,37.01
69,216,72,107,605.45,8.838,23,29,37.01
70,215,72,107,614.77,8.838,23,29,37.01
71,216,71,108,622.02,8.835,23,29,37.01
72,217,72,108,629.82,8.836,23,29,37.01
73,216,72,108,638.78,8.838,23,29,37.01
74,217,72,109,647.89,8.837,23,29,37.01
75,216,73,109,657.42,8.838,23,28,37.01
76,215,73,108,666.5,8.837,23,28,37.01
77,215,72,108,675.22,8.837,23,29,37.01
78,215,71,107,683.55,8.836,23,29,37.01
79,216,70,107,693.43,8.838,23,29,37.01
80,216,70,107,702.73,8.838,23,29,37.01
81,216,70,107,712.06,8.838,23,29,37.01
