time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,216,67,89,8.83,8.827,27,31,,37.01,,12.3,100.0,11.0,0.0,0.0,1.0676916E-4,12.3,11.0
1,214,67,90,17.65,8.827,27,31,640:633,37.01,32.4,12.3,100.0,11.0,0.0,0.0,2.1353833E-4,12.3,11.0
2,215,66,91,26.49,8.827,26,31,637,37.01,32.4,10.2,190.0,17.0,0.0,0.0,3.203075E-4,10.2,17.0
3,215,65,92,35.32,8.827,26,32,629:624,37.01,32.4,10.2,190.0,17.0,0.0,0.0,4.2707665E-4,10.2,17.0
4,215,64,93,44.13,8.827,26,32,625:620,37.01,32.4,10.2,190.0,17.0,0.0,0.0,5.338458E-4,10.2,17.0
5,214,64,94,52.96,8.827,26,32,612,37.01,32.4,10.2,190.0,17.0,0.0,0.0,6.40615E-4,10.2,17.0
6,215,63,95,61.79,8.827,26,33,612:607,37.01,32.4,9.9,157.0,15.0,0.0,0.0,7.4738415E-4,9.9,15.0
7,218,62,96,70.61,8.827,26,34,542:663,37.01,32.4,9.9,123.0,13.0,0.0,0.0,8.541533E-4,9.9,13.0
8,220,64,96,79.44,8.827,26,33,620,37.01,32.4,9.9,123.0,13.0,0.0,0.0,9.609225E-4,9.9,13.0
9,220,67,96,88.27,8.827,26,31,625:625,37.01,32.4,9.9,123.0,13.0,0.0,0.0,0.0010676916,9.9,13.0
10,216,68,96,97.1,8.827,26,30,635,37.01,32.4,9.9,361.0,52.0,0.0,0.0,0.0011744609,9.9,52.0
11,217,69,96,105.92,8.827,26,30,629:629,37.01,32.4,9.9,599.0,90.0,0.0,0.0,0.00128123,9.9,90.0
12,217,69,96,114.76,8.827,26,30,625:616,37.01,32.4,11.9,484.0,97.0,0.0,0.0,0.0013879992,11.9,97.0
13,215,69,96,123.58,8.827,26,30,620,37.01,32.4,11.9,484.0,97.0,0.0,0.0,0.0014947683,11.9,97.0
14,215,69,96,132.41,8.827,26,30,612,37.01,32.4,11.9,484.0,97.0,0.0,0.0,0.0016015375,11.9,97.0
15,216,69,97,141.23,8.827,26,30,605:593,37.01,32.4,11.9,368.0,104.0,0.0,0.0,0.0017083066,11.9,104.0
16,213,67,98,150.06,8.827,26,30,601:592,37.01,32.4,14.8,362.0,86.0,0.0,0.0,0.0018150758,14.8,86.0
17,213,67,99,158.88,8.827,26,30,589:589,37.02,32.4,14.8,355.0,67.0,0.0,0.0,0.001921845,14.8,67.0
18,216,64,99,167.72,8.827,26,32,586,37.02,32.4,14.8,355.0,67.0,0.0,0.0,0.002028614,14.8,67.0
19,215,64,100,176.54,8.827,26,32,589:582,37.02,32.4,17.8,355.0,68.0,0.0,0.0,0.0021353832,17.8,68.0
20,215,64,100,185.37,8.827,26,32,577,37.02,32.4,17.8,355.0,68.0,0.0,0.0,0.0022421526,17.8,68.0
21,218,63,102,194.19,8.827,26,33,578:582:574,37.02,32.4,21.0,285.0,61.0,0.0,0.0,0.0023489217,21.0,61.0
22,219,64,102,203.02,8.827,26,33,574,37.02,32.4,21.0,285.0,61.0,0.0,0.0,0.0024556909,21.0,61.0
23,215,65,103,211.84,8.827,26,32,577:565,37.02,32.35,23.9,270.0,63.0,0.0,0.0,0.00256246,23.9,63.0
24,216,65,103,220.67,8.827,26,32,569:563,37.02,32.35,23.9,228.0,60.0,0.0,0.0,0.0026692292,23.9,60.0
25,218,65,104,229.51,8.827,26,32,563:565,37.02,32.4,23.9,232.0,67.0,0.0,0.0,0.0027759983,23.9,67.0
26,216,66,105,238.32,8.827,26,31,569:563,37.02,32.4,23.9,241.0,75.0,0.0,0.0,0.0028827675,23.9,75.0
27,214,66,105,247.15,8.827,26,31,565,37.01,32.4,23.9,241.0,75.0,0.0,0.0,0.0029895366,23.9,75.0
28,215,66,105,255.99,8.827,26,31,563:563,37.01,32.35,24.7,241.0,67.0,0.0,0.0,0.0030963058,24.7,67.0
29,212,65,106,264.81,8.827,26,31,563:554,37.01,32.4,24.7,241.0,67.0,0.0,0.0,0.003203075,24.7,67.0
30,217,64,106,273.63,8.827,26,32,559:555,37.01,32.4,25.7,241.0,56.0,0.0,0.0,0.003309844,25.7,56.0
31,218,64,107,282.46,8.827,26,33,550,37.01,32.4,28.8,241.0,70.0,0.0,0.0,0.0034166132,28.8,70.0
32,214,65,107,291.29,8.827,26,31,555:550,37.01,32.35,28.8,241.0,70.0,0.0,0.0,0.0035233824,28.8,70.0
33,217,65,108,300.12,8.827,26,32,546:550,37.01,32.35,28.8,241.0,80.0,0.0,0.0,0.0036301515,28.8,80.0
34,216,64,108,308.94,8.827,26,32,542:546,37.01,32.35,28.8,241.0,80.0,0.0,0.0,0.003736921,28.8,80.0
35,217,65,108,317.77,8.827,26,32,542,37.01,32.35,28.7,240.0,83.0,0.0,0.0,0.00384369,28.7,83.0
36,215,65,110,326.6,8.827,26,32,538:537:535,37.01,32.35,24.5,197.0,48.0,0.0,0.0,0.003950459,24.5,48.0
