time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,227.0,70.0,94.0,8.34,8.837,21.0,31.0,68.6,37.03,0.0006447453,67.6190909090909,19.44,175.0,40.8,32.25,0.0,545
1.0,224.0,71.0,95.0,18.76,8.839,21.0,30.0,67.7,37.03,0.00085966045,65.675,19.6,175.0,40.91,32.25,0.0,684:15:00
2.0,222.0,71.0,95.0,29.04,8.839,21.0,30.0,66.8,37.03,0.0010745756,64.50500000000001,19.75,175.1,41.02,32.25,0.0,625:11:00
3.0,224.0,70.0,95.0,35.3,8.834,21.0,31.0,67.4,37.03,0.0012894906,65.39099999999999,19.9,175.1,41.14,32.2,0.0,605
4.0,225.0,69.0,95.0,43.6,8.837,21.0,31.0,67.7,37.03,0.0015044058,64.64125,20.12,175.2,41.3,32.25,0.0,615:12:00
5.0,223.0,69.0,96.0,53.93,8.839,21.0,31.0,67.7,37.03,0.0017193209,63.61666666666667,20.36,175.2,41.47,32.2,0.0,619
6.0,222.0,69.0,97.0,62.23,8.837,21.0,31.0,65.6,37.03,0.001934236,63.488,20.56,175.3,41.62,32.2,0.0,627:12:00
7.0,223.0,68.0,99.0,72.52,8.839,21.0,31.0,65.6,37.03,0.0021491512,64.041,20.73,175.3,41.74,32.2,0.0,625:20:00
8.0,225.0,67.0,98.0,78.79,8.834,21.0,32.0,64.4,37.03,0.0023640662,64.10777777777778,20.91,175.4,41.87,32.2,0.0,615
9.0,225.0,67.0,97.0,88.17,8.838,21.0,32.0,63.8,37.03,0.0025789812,64.23454545454545,21.06,175.4,41.99,32.2,0.0,619:06:00
10.0,224.0,67.0,97.0,97.37,8.837,21.0,32.0,64.0,37.03,0.0027938965,63.927,21.21,175.5,42.09,32.2,0.0,611
11.0,225.0,68.0,97.0,105.7,8.837,21.0,32.0,63.7,37.03,0.0030088115,63.59444444444445,21.36,175.5,42.2,32.2,0.0,619:06:00
12.0,224.0,68.0,98.0,116.03,8.839,21.0,31.0,63.4,37.03,0.0032237265,63.86363636363637,21.52,175.6,42.32,32.2,0.0,607:55:00
13.0,223.0,68.0,98.0,124.29,8.837,21.0,31.0,63.2,37.03,0.0034386418,63.68300000000001,21.73,175.6,42.48,32.2,0.0,597
14.0,224.0,68.0,98.0,132.59,8.837,21.0,31.0,63.2,37.03,0.0036535568,64.1,21.95,175.7,42.64,32.2,0.0,605:02:49
15.0,224.0,68.0,99.0,140.89,8.837,21.0,31.0,61.9,37.03,0.003868472,63.65090909090909,22.14,175.8,42.78,32.2,0.0,588
16.0,225.0,68.0,100.0,151.19,8.839,21.0,32.0,60.2,37.03,0.004083387,62.799,22.33,175.8,42.92,32.2,0.0,600:46:00
17.0,224.0,68.0,101.0,157.45,8.834,21.0,31.0,59.3,37.03,0.0042983023,61.83888888888888,22.51,175.9,43.05,32.2,0.0,578
