time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,218,71,87,0.0,8.837,,29,35.94
1,217,72,88,5.55,8.838,25,29,35.94
2,217,72,91,11.29,8.838,25,29,35.94
3,215,71,94,19.01,8.835,25,29,35.94
4,215,71,96,29.37,8.839,25,29,35.94
5,214,70,96,38.6,8.838,25,29,35.94
6,215,69,96,45.03,8.834,25,30,35.94
7,216,69,95,56.26,8.839,25,30,35.94
8,217,69,95,65.62,8.837,25,30,35.94
9,216,69,96,72.78,8.835,25,30,35.95
10,215,69,96,83.18,8.839,25,30,35.95
11,215,68,96,92.13,8.838,25,30,35.95
12,215,68,95,96.56,8.834,25,30,35.95
13,215,67,95,108.49,8.838,25,31,35.95
14,215,67,94,115.42,8.834,25,31,35.95
15,216,66,94,126.13,8.838,25,31,35.95
16,216,66,94,134.44,8.837,25,31,35.95
17,216,66,96,143.2,8.837,25,31,35.95
18,217,67,96,153.07,8.838,25,31,35.95
19,217,67,97,161.33,8.837,25,31,35.95
20,216,68,98,170.11,8.837,25,30,35.95
21,216,68,99,179.47,8.837,25,30,35.96
22,216,68,100,186.66,8.835,25,30,35.96
23,217,69,100,196.79,8.839,25,30,35.96
24,217,69,102,205.79,8.838,25,30,35.96
25,216,70,103,212.44,8.834,25,29,35.96
26,215,70,104,221.93,8.839,25,29,35.96
27,216,69,105,232.96,8.838,25,30,35.96
28,216,69,106,240.98,8.836,25,30,35.96
29,218,70,106,247.89,8.834,25,30,35.96
30,216,71,107,259.06,8.839,25,29,35.96
31,215,70,108,268.36,8.838,25,29,35.96
32,216,70,109,274.8,8.834,25,29,35.96
33,215,70,110,285.99,8.839,25,29,35.97
34,215,69,110,295.4,8.837,25,30,35.97
35,216,68,111,302.34,8.835,25,30,35.97
36,216,68,111,311.97,8.839,25,30,35.97
37,216,68,111,322.32,8.837,25,30,35.97
38,216,68,111,329.5,8.835,25,30,35.97
39,217,68,112,339.35,8.838,25,30,36.08
40,218,69,112,347.15,8.836,25,30,36.19
41,216,70,112,354.32,8.835,25,29,36.19
42,216,70,112,364.66,8.839,24,29,36.19
43,216,70,112,374.05,8.837,24,29,36.19
44,216,70,113,381.25,8.835,24,29,36.19
45,216,70,114,391.39,8.839,24,29,36.19
46,216,70,114,400.75,8.838,24,29,36.2
47,217,70,114,409.1,8.836,24,30,36.2
48,217,71,114,415.57,8.834,24,29,36.2
49,215,70,114,426.8,8.839,24,29,36.2
50,215,70,115,436.16,8.837,24,29,36.2
51,216,70,116,443.12,8.835,24,29,36.2
52,216,70,115,452.52,8.838,24,29,36.2
53,216,70,114,462.0,8.837,24,29,36.2
54,216,70,114,471.35,8.837,24,29,36.2
55,216,70,114,478.54,8.835,24,29,36.21
56,214,70,113,488.91,8.839,24,29,36.21
57,215,69,113,498.27,8.837,24,30,36.21
58,216,68,113,505.44,8.835,24,30,36.21
59,216,68,113,515.79,8.839,24,30,36.21
60,217,69,113,525.18,8.837,24,30,36.21
61,217,70,113,532.36,8.835,24,30,36.21
62,216,69,112,542.69,8.839,24,30,36.21
63,215,69,111,552.08,8.837,24,30,36.22
64,217,69,110,559.28,8.835,24,30,36.22
65,216,69,110,569.14,8.838,24,30,36.22
66,215,68,110,577.43,8.837,24,30,36.22
