time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,214,70,94,0.0,8.839,,29,37.0
1,214,69,94,9.76,8.839,,30,37.0
2,215,68,95,16.22,8.834,,30,37.0
3,216,67,95,25.46,8.838,24,31,37.0
4,216,67,95,32.74,8.834,24,31,37.0
5,217,68,95,42.91,8.838,24,30,37.0
6,216,68,95,53.23,8.839,24,30,37.0
7,215,68,94,59.67,8.834,24,30,37.0
8,215,67,94,69.78,8.838,24,31,37.0
9,214,66,94,78.2,8.837,24,31,37.0
10,215,65,95,88.43,8.838,24,32,37.0
11,215,65,95,94.33,8.834,24,32,37.0
12,215,64,97,103.0,8.837,24,32,37.0
13,215,64,98,113.29,8.838,24,32,37.0
14,215,63,99,120.94,8.837,24,33,37.0
15,215,62,100,131.86,8.838,24,33,37.0
16,216,61,102,140.31,8.837,24,34,37.0
17,219,61,102,146.63,8.834,24,34,37.0
18,220,62,103,156.76,8.838,24,34,37.0
19,218,63,103,167.11,8.839,24,33,37.0
20,218,64,104,175.49,8.837,24,33,37.0
21,217,65,105,183.78,8.837,24,32,37.0
22,216,66,105,194.03,8.838,24,31,37.0
23,217,67,107,199.91,8.834,24,31,37.0
24,216,67,108,210.53,8.838,24,31,37.0
25,215,67,109,217.02,8.834,24,31,37.0
26,215,67,111,226.22,8.838,24,31,37.0
27,216,66,111,236.42,8.839,23,31,37.0
28,217,66,112,246.78,8.839,23,31,37.0
29,216,67,112,253.66,8.834,23,31,37.0
30,216,69,113,263.37,8.838,23,30,37.0
31,216,69,113,271.31,8.837,23,30,37.0
32,215,68,113,280.08,8.837,23,30,37.0
33,215,67,113,288.51,8.837,23,31,37.0
34,216,67,112,298.54,8.838,23,31,37.0
35,217,68,112,305.99,8.834,23,30,37.0
36,217,69,112,316.16,8.838,23,30,37.0
37,215,68,112,324.85,8.839,23,30,37.0
38,215,68,112,334.79,8.837,23,30,37.0
39,217,68,112,343.14,8.837,23,30,37.0
40,216,68,113,350.14,8.837,23,30,37.0
41,215,68,113,359.6,8.838,23,30,37.0
42,216,68,113,366.88,8.835,23,30,37.0
43,217,67,112,377.02,8.838,23,31,37.0
44,216,68,112,387.54,8.839,23,30,37.0
45,216,68,111,393.92,8.835,23,30,37.0
46,216,69,110,403.84,8.838,23,30,37.0
47,217,69,109,411.53,8.837,23,30,37.0
48,216,69,109,422.33,8.838,23,30,37.0
49,216,69,109,429.59,8.834,23,30,37.0
50,215,68,109,440.31,8.838,23,30,37.0
51,215,68,110,450.71,8.839,23,30,37.0
52,215,68,111,456.59,8.834,23,30,37.0
53,215,66,110,467.17,8.838,23,31,37.0
54,217,66,111,475.64,8.837,23,31,37.0
55,217,67,111,483.91,8.837,23,31,37.0
56,215,68,111,492.22,8.837,23,30,37.0
57,215,68,110,502.46,8.838,23,30,37.0
58,215,66,111,510.12,8.837,23,31,37.0
59,215,66,111,518.29,8.837,23,31,37.0
60,216,66,111,529.32,8.838,23,31,37.0
61,216,66,111,535.91,8.837,23,31,37.0
62,216,66,111,545.84,8.837,23,31,37.0
63,216,66,111,553.6,8.837,23,31,37.0
64,216,67,111,562.56,8.837,23,31,37.0
65,215,66,112,572.85,8.839,23,31,37.0
66,216,66,111,581.25,8.837,23,31,37.05
67,217,66,111,588.81,8.837,23,31,37.08
68,218,67,110,599.7,8.838,23,31,37.08
69,217,68,110,606.19,8.834,23,30,37.08
70,216,68,110,616.33,8.838,23,30,37.08
71,215,68,110,625.05,8.839,23,30,37.08
72,216,68,110,635.78,8.839,23,30,37.08
73,216,67,111,642.34,8.835,23,31,37.08
74,215,67,112,651.51,8.837,22,31,37.09
75,216,67,112,659.74,8.837,22,31,37.09
76,217,67,112,667.42,8.834,22,31,37.09
77,215,68,112,677.39,8.838,22,30,37.09
78,216,68,113,688.71,8.839,22,30,37.09
79,217,68,113,697.17,8.837,22,30,37.09
80,217,69,114,703.45,8.834,22,30,37.09
81,216,70,115,713.52,8.838,22,29,37.09
82,216,70,114,723.89,8.839,22,29,37.09
83,215,70,114,732.3,8.837,22,29,37.09
84,214,69,114,738.62,8.834,22,30,37.1
85,215,68,114,748.78,8.838,22,30,37.1
86,215,67,114,758.27,8.839,22,31,37.1
87,216,67,115,765.53,8.834,22,31,37.1
88,217,67,116,774.83,8.838,22,31,37.1
89,218,67,116,786.01,8.839,22,31,37.1
90,218,69,116,794.45,8.837,22,30,37.1
91,218,71,114,804.66,8.838,22,29,37.1
92,216,73,114,811.12,8.834,22,28,37.1
93,215,73,114,819.28,8.837,22,28,37.1
94,216,72,114,827.56,8.837,22,29,37.1
95,215,72,114,836.93,8.838,22,29,37.1
96,214,71,114,847.09,8.839,22,29,37.11
97,215,69,114,853.93,8.834,22,30,37.11
98,216,68,115,864.65,8.838,22,30,37.11
