time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,0,,92,,,,,
1,201,76,92,0.0,8.28,,25,37.03
2,201,76,91,5.37,8.28,,25,37.03
3,201,76,89,12.1,8.28,20,25,37.03
4,201,76,88,20.4,8.28,20,25,37.03
5,201,76,87,28.67,8.28,20,25,37.03
6,201,76,87,36.94,8.28,20,25,37.03
7,200,76,86,45.23,8.28,20,25,37.03
8,200,75,86,53.52,8.28,20,25,37.03
9,201,75,87,60.84,8.28,20,26,37.03
10,201,75,88,68.0,8.28,20,26,37.03
11,201,75,89,75.91,8.28,20,26,37.03
12,201,75,89,83.7,8.28,20,26,37.03
13,201,74,91,92.01,8.28,20,26,37.03
14,202,74,93,100.28,8.28,20,26,37.03
15,201,75,94,108.9,8.28,20,26,37.03
16,201,76,95,117.68,8.28,20,25,37.03
17,201,75,97,126.9,8.28,20,26,37.03
18,201,75,97,135.42,8.28,20,26,37.03
19,201,75,98,142.67,8.28,20,26,37.03
20,202,74,99,152.87,8.28,20,26,37.03
21,202,75,100,161.15,8.28,20,26,37.03
22,201,77,101,169.42,8.28,20,25,37.03
23,200,77,101,177.7,8.28,20,25,37.03
24,200,76,102,185.98,8.28,20,25,37.03
25,200,75,103,194.26,8.28,20,25,37.03
26,200,74,103,202.54,8.28,20,26,37.03
27,201,74,104,210.82,8.28,20,26,37.04
28,201,74,105,219.1,8.28,20,26,37.04
29,202,74,106,226.43,8.28,20,26,37.04
30,201,75,106,233.24,8.28,20,26,37.04
31,201,75,106,241.37,8.28,20,26,37.04
32,200,74,107,251.07,8.28,20,26,37.04
33,200,74,107,260.12,8.28,20,26,37.04
34,201,73,107,268.29,8.28,20,26,37.04
35,201,74,107,277.03,8.28,20,26,37.04
36,201,74,107,285.32,8.28,20,26,37.04
37,201,73,107,293.28,8.28,20,26,37.04
38,202,73,108,301.41,8.28,20,26,37.04
39,202,75,108,310.18,8.28,20,26,37.04
40,201,75,107,317.83,8.28,20,26,37.04
41,201,75,106,324.94,8.28,20,26,37.04
42,200,74,105,332.95,8.28,20,26,37.04
43,201,74,105,341.24,8.28,20,26,37.04
44,201,74,105,349.52,8.28,20,26,37.04
45,201,74,105,358.76,8.28,20,26,37.04
46,201,74,105,368.14,8.28,20,26,37.04
47,201,74,105,376.42,8.28,20,26,37.04
48,201,74,105,384.71,8.28,20,26,37.04
49,201,74,106,392.64,8.28,20,26,37.04
50,201,74,106,400.42,8.28,20,26,37.04
51,201,74,106,409.02,8.28,20,26,37.04
52,201,74,106,416.61,8.28,20,26,37.05
53,201,74,106,423.2,8.28,20,26,37.05
54,201,74,106,431.49,8.28,20,26,37.05
55,201,73,106,439.78,8.28,20,26,37.05
56,202,73,105,448.05,8.28,20,26,37.05
57,202,74,105,457.5,8.28,20,26,37.05
58,201,76,105,467.51,8.28,20,25,37.05
59,200,76,105,475.79,8.28,20,25,37.05
60,200,75,106,484.07,8.28,20,25,37.05
61,201,74,106,492.35,8.28,20,26,37.05
62,201,74,107,500.62,8.28,20,26,37.05
63,202,75,107,508.9,8.28,20,26,37.05
64,201,75,107,516.23,8.28,20,26,37.05
65,201,75,107,523.4,8.28,20,26,37.05
66,200,74,107,531.69,8.28,20,26,37.05
67,201,74,108,539.98,8.28,20,26,37.05
68,201,74,107,549.18,8.28,20,26,37.05
69,201,74,107,558.22,8.28,20,26,37.05
70,201,74,107,566.37,8.28,20,26,37.05
71,201,74,107,574.8,8.28,20,26,37.05
72,201,75,107,582.95,8.28,20,26,37.05
73,201,74,108,591.7,8.28,20,26,37.05
74,201,74,108,599.97,8.28,20,26,37.05
75,201,74,109,608.27,8.28,20,26,37.05
76,201,74,109,616.54,8.28,20,26,37.05
77,201,74,109,623.89,8.28,20,26,37.05
78,201,74,109,630.69,8.28,20,26,37.05
79,201,75,109,638.8,8.28,20,26,37.05
80,200,75,108,647.25,8.28,20,25,37.05
81,200,74,106,656.21,8.28,20,26,37.05
82,201,73,105,665.6,8.28,20,26,37.05
83,201,72,105,673.41,8.28,20,27,37.05
84,201,73,105,681.84,8.28,20,26,37.05
85,200,73,106,689.01,8.28,20,26,37.06
86,201,73,107,697.29,8.28,20,26,37.06
87,202,73,107,705.57,8.28,20,26,37.06
88,202,74,107,714.83,8.28,20,26,37.06
89,201,74,107,724.22,8.28,20,26,37.06
90,200,74,107,732.5,8.28,20,26,37.06
91,201,73,108,740.78,8.28,20,26,37.06
92,201,72,108,748.69,8.28,20,27,37.06
93,201,72,108,755.51,8.28,20,27,37.06
94,200,73,108,762.06,8.28,20,26,37.06
95,201,73,107,770.98,8.28,20,26,37.06
96,201,73,105,780.03,8.28,20,26,37.06
97,201,73,105,789.62,8.28,20,26,37.06
98,201,73,104,797.88,8.28,20,26,37.06
99,202,73,104,806.5,8.28,20,26,37.06
100,202,75,104,815.29,8.28,20,26,37.06
101,201,76,104,823.22,8.28,20,25,37.06
102,200,75,105,831.02,8.28,20,25,37.06
103,200,74,106,838.34,8.28,20,26,37.06
104,200,73,106,845.23,8.28,20,26,37.06
105,200,73,106,855.6,8.28,20,26,37.06
106,201,72,106,864.99,8.28,19,27,37.06
107,201,73,105,873.27,8.28,19,26,37.06
108,201,73,106,881.55,8.28,19,26,37.06
109,200,72,106,888.86,8.28,19,27,37.06
110,200,72,107,896.04,8.28,19,27,37.06
111,201,72,107,903.66,8.28,19,27,37.06
112,202,72,107,911.45,8.28,19,27,37.08
113,202,73,107,921.82,8.28,19,26,37.08
114,201,74,107,931.23,8.28,19,26,37.08
115,200,74,106,939.51,8.28,19,26,37.08
116,200,73,106,946.82,8.28,19,26,37.08
117,201,72,104,954.01,8.28,19,27,37.08
118,202,71,103,962.29,8.28,19,27,37.08
119,202,72,101,970.57,8.28,19,27,37.08
120,202,73,102,979.8,8.28,19,26,37.08
121,202,74,103,988.22,8.28,19,26,37.08
122,202,75,103,996.37,8.28,19,26,37.08
123,201,76,103,1005.76,8.28,19,25,37.08
124,200,76,103,1014.03,8.28,19,25,37.08
125,200,75,103,1021.64,8.28,19,25,37.09
126,200,74,105,1028.87,8.28,19,26,37.09
127,201,73,105,1037.73,8.28,19,26,37.09
128,202,75,105,1047.13,8.28,19,26,37.09
129,201,75,104,1055.43,8.28,19,26,37.09
130,200,75,102,1062.75,8.28,19,25,37.09
131,200,74,99,1069.93,8.28,19,26,37.09
132,200,73,98,1079.18,8.28,19,26,37.09
