time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,215,76,74,9.45,8.827,24,27,,36.97,,0.0,0.0,0.0,0.0,0.0,1.1411617E-4,0.0,0.0
1,216,75,76,17.65,8.827,24,28,718:726,36.97,,0.0,0.0,0.0,0.0,0.0,2.2823234E-4,0.0,0.0
2,214,75,77,26.48,8.827,24,27,726,36.97,31.85,0.0,0.0,0.0,0.0,0.0,3.423485E-4,0.0,0.0
3,214,75,79,35.32,8.836,24,27,718:722,36.97,31.85,0.0,0.0,0.0,0.0,0.0,4.5646468E-4,0.0,0.0
4,214,71,79,44.14,8.827,24,29,730,36.97,31.85,0.0,0.0,0.0,0.0,0.0,5.705808E-4,0.0,0.0
5,215,70,79,52.97,8.827,24,29,730,36.97,31.85,0.0,0.0,0.0,0.0,0.0,6.84697E-4,0.0,0.0
6,218,69,80,61.8,8.827,24,30,722:726,36.97,31.85,0.0,0.0,0.0,0.0,0.0,7.988132E-4,0.0,0.0
7,217,70,81,70.62,8.827,24,30,711,36.97,31.85,0.0,0.0,0.0,0.0,0.0,9.1292936E-4,0.0,0.0
8,215,70,81,79.45,8.827,24,29,714,36.97,31.8,0.0,0.0,0.0,0.0,0.0,0.0010270455,0.0,0.0
9,216,70,82,88.28,8.827,24,29,709:711,36.97,31.8,0.0,0.0,0.0,0.0,0.0,0.0011411617,0.0,0.0
10,216,70,82,97.1,8.827,24,29,707,36.97,31.85,0.0,0.0,0.0,0.0,0.0,0.0012552779,0.0,0.0
11,215,69,83,105.93,8.827,24,30,694,36.97,31.8,0.0,0.0,0.0,0.0,0.0,0.001369394,0.0,0.0
12,216,69,84,114.77,8.827,24,30,694:686,36.97,31.8,0.0,0.0,0.0,0.0,0.0,0.0014835102,0.0,0.0
