time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,hrv,core_temperature,skin_temperature,respiration,tidal_volume,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,225,73,79,0.0,8.837,,29,71.170906,,37.06,32.5,,,0.0,1.2327416E-4,,
1,226,74,80,7.29,8.838,,29,71.05111,626,37.06,32.5,,,0.0,2.4654833E-4,,
2,225,76,81,15.16,8.838,,28,70.38875,640:39:0,37.06,32.5,,188.7,0.0,3.698225E-4,23.65,42.46
3,224,76,80,23.45,8.837,22,28,69.8425,820,37.06,32.5,,191.8,0.0,4.9309665E-4,23.4,43.18
4,223,75,81,32.94,8.838,22,28,70.004,685,37.06,32.5,,192.7,0.0,6.163708E-4,23.33,43.38
5,223,75,81,42.09,8.837,22,28,70.781,696:25:0,37.06,32.5,20.08,193.6,0.0,7.39645E-4,23.26,43.59
6,223,75,81,49.16,8.835,22,28,72.343636,606,37.06,32.5,20.08,194.5,0.0,8.6291914E-4,23.19,43.79
7,223,75,81,57.21,8.836,22,28,74.19,530:6:0,37.06,32.5,20.08,195.3,0.0,9.861933E-4,23.12,43.99
8,223,74,81,67.63,8.839,23,29,75.661,721,37.06,32.5,20.08,196.2,0.0,0.0011094675,23.05,44.19
9,223,73,82,77.27,8.838,23,29,77.211815,1250:28:0,37.06,32.5,20.08,197.8,0.0,0.0012327416,22.92,44.56
10,224,73,82,86.75,8.838,23,29,78.71445,601,37.06,32.5,20.08,199.8,0.0,0.0013560158,22.77,45.02
11,225,73,82,95.9,8.838,23,29,79.808,630:20:0,37.06,32.5,20.08,201.8,0.0,0.00147929,22.6,45.49
12,225,74,82,102.98,8.835,23,29,80.66909,633:34:0,37.06,32.55,20.08,204.0,0.0,0.0016025641,22.43,46.0
13,224,74,83,110.37,8.835,23,29,81.47889,587,37.06,32.55,20.08,206.1,0.0,0.0017258383,22.26,46.49
14,224,74,83,118.85,8.838,23,29,82.234,605:43:0,37.06,32.5,20.08,207.2,0.0,0.0018491125,22.17,46.74
15,224,74,82,128.16,8.838,23,29,82.757,578,37.06,32.55,20.08,208.3,0.0,0.0019723866,22.09,46.99
16,224,75,82,138.51,8.838,23,29,83.091,595:34:0,37.06,32.55,20.08,209.3,0.0,0.0020956607,22.0,47.24
17,224,75,82,147.66,8.837,23,29,83.456,587:47:0,37.06,32.55,20.08,210.4,0.0,0.002218935,21.91,47.49
18,224,75,83,156.6,8.838,23,29,83.76818,597,37.06,32.55,20.08,211.8,0.0,0.002342209,21.8,47.82
19,224,74,85,165.9,8.838,23,29,83.98444,619:57:0,37.06,32.55,20.47,213.4,0.0,0.0024654833,21.67,48.19
20,224,74,84,173.36,8.835,23,29,83.885,607:53:0,37.06,32.55,20.47,215.0,0.0,0.0025887573,21.54,48.56
21,225,75,84,180.78,8.835,23,29,83.64818,595,37.06,32.55,20.47,216.0,0.0,0.0027120316,21.53,48.78
22,225,75,84,190.27,8.838,23,29,83.28667,604:25:0,37.06,32.55,20.47,216.6,0.0,0.0028353056,21.57,48.93
23,225,76,85,199.42,8.837,23,28,82.752,616,37.06,32.55,20.47,217.3,0.0,0.00295858,21.61,49.08
24,224,76,85,207.7,8.837,23,28,82.207275,626:46:0,37.06,32.55,20.47,217.9,0.0,0.003081854,21.64,49.23
25,224,76,86,217.18,8.838,23,28,81.64889,619:20:0,37.06,32.55,23.1,218.5,0.0,0.0032051282,21.68,49.38
26,223,76,86,226.32,8.837,23,28,81.122,486:48:0,37.06,32.55,23.1,219.2,0.0,0.0033284023,21.72,49.53
27,223,75,86,235.26,8.838,23,28,80.646,569,37.06,32.55,23.1,219.8,0.0,0.0034516766,21.76,49.68
28,223,74,86,244.13,8.838,23,29,80.134,674:18:0,37.06,32.55,23.1,220.8,0.0,0.0035749506,21.83,49.89
29,224,75,86,252.41,8.837,23,29,79.46,569:23:0,37.06,32.55,23.1,222.2,0.0,0.003698225,21.95,50.22
30,225,75,86,262.25,8.838,23,29,78.583,563,37.06,32.55,23.1,223.6,0.0,0.003821499,22.08,50.54
31,225,76,87,271.87,8.837,23,28,77.626,572:24:0,37.06,32.55,23.1,225.0,0.0,0.003944773,22.21,50.87
32,224,77,87,280.14,8.837,23,28,76.417,572:18:0,37.06,32.55,23.1,225.9,0.0,0.0040680473,22.23,51.08
33,224,77,88,289.62,8.838,22,28,75.118,567:20:0,37.06,32.55,23.1,226.8,0.0,0.0041913213,22.25,51.3
34,224,77,88,298.76,8.838,22,28,73.772,564:12:0,37.06,32.55,22.88,227.7,0.0,0.004314596,22.27,51.51
35,224,77,89,307.05,8.837,22,28,72.556,552,37.06,32.55,22.88,228.6,0.0,0.00443787,22.3,51.72
36,224,76,89,315.34,8.837,22,28,71.36636,541:19:0,37.06,32.55,22.88,229.6,0.0,0.004561144,22.32,51.94
37,224,76,90,324.82,8.838,22,28,70.19666,560:12:0,37.06,32.55,22.88,231.0,0.0,0.004684418,22.21,52.28
38,225,77,89,333.52,8.838,22,28,68.97,561:9:0,37.06,32.6,22.88,232.6,0.0,0.0048076925,22.06,52.65
39,225,78,89,341.86,8.837,22,28,67.301,551,37.06,32.6,22.88,234.2,0.0,0.0049309665,21.92,53.02
40,225,79,89,350.52,8.837,22,27,65.943,536,37.06,32.6,23.12,236.6,0.0,0.0050542406,22.01,53.57
41,225,80,90,358.81,8.837,22,27,65.037,1091:14:5,37.06,32.6,23.12,239.1,0.0,0.0051775146,22.13,54.15
42,224,79,90,366.65,8.837,22,27,64.302,545,37.06,32.6,23.12,241.5,0.0,0.005300789,22.15,54.71
43,223,78,92,374.99,8.837,22,27,63.637,549:23:0,37.06,32.6,23.12,243.9,0.0,0.005424063,22.16,55.27
44,224,78,94,384.86,8.838,22,27,62.95,,37.06,32.6,23.12,245.2,0.0,0.0055473372,22.14,55.57
45,224,78,94,394.66,8.839,22,27,61.885456,,37.06,32.6,23.12,246.5,0.0,0.0056706113,22.11,55.87
46,224,78,94,403.97,8.838,22,27,60.81111,1570,37.06,32.6,24.86,247.8,0.0,0.005793886,22.09,56.17
47,223,78,94,413.83,8.838,22,27,60.206,2109:38:0,37.07,32.6,24.86,249.1,0.0,0.00591716,22.11,56.57
48,223,78,94,422.54,8.838,22,27,59.97,762,37.07,32.6,24.86,250.4,0.0,0.006040434,22.24,57.21
49,224,77,94,430.88,8.837,22,28,59.931,936,37.07,32.65,24.86,251.7,0.0,0.006163708,22.38,57.86
50,224,76,94,438.74,8.837,22,28,60.16,1024,37.07,32.6,24.86,252.8,0.0,0.0062869824,22.51,58.46
51,224,76,94,446.96,8.837,22,28,60.216362,721,37.07,32.6,24.86,253.6,0.0,0.0064102565,22.65,58.86
52,225,77,94,456.1,8.837,22,28,60.63222,747:7:0,37.07,32.6,24.86,254.7,0.0,0.0065335305,22.79,59.26
53,225,79,95,465.03,8.838,22,27,61.482,1075,37.07,32.6,24.86,259.2,0.0,0.0066568046,22.91,59.56
54,224,79,95,474.33,8.838,22,27,62.381817,620,37.07,32.6,24.86,263.6,0.0,0.006780079,23.03,59.85
55,223,78,95,483.01,8.837,22,27,62.856667,1159,37.07,32.6,,265.2,0.0,0.006903353,23.32,59.06
56,223,77,95,490.85,8.837,22,28,63.6,889,37.07,32.6,,266.6,0.0,0.007026627,23.67,58.55
57,223,76,96,499.18,8.837,22,28,64.4,1529,37.07,32.65,,270.5,0.0,0.0071499012,23.99,60.0
58,224,77,96,509.06,8.838,22,28,64.99111,703,37.07,32.65,,273.5,0.0,0.0072731758,24.19,60.85
59,224,76,96,518.19,8.837,22,28,65.633,777,37.07,32.65,,276.2,0.0,0.00739645,24.32,61.36
60,224,76,97,526.48,8.837,22,28,66.21,779,37.07,32.65,,278.8,0.0,0.007519724,24.45,61.87
61,224,77,97,534.76,8.837,22,28,66.424446,1014,37.07,32.65,,281.5,0.0,0.007642998,24.57,62.37
62,224,77,97,544.25,8.838,22,28,66.267,818:39:0,37.07,32.6,,282.2,0.0,0.0077662724,24.65,62.75
63,224,76,97,553.38,8.837,22,28,65.498,739,37.07,32.6,,282.8,0.0,0.007889546,24.72,63.12
64,224,76,97,561.22,8.837,22,28,64.956,953,37.07,32.65,,283.3,0.0,0.008012821,24.79,63.48
65,224,76,96,569.57,8.837,22,28,64.568,689,37.07,32.65,24.06,284.0,0.0,0.008136095,24.85,63.97
66,224,76,96,578.23,8.837,22,28,64.14091,531:58:0,37.07,32.65,24.06,284.9,0.0,0.008259369,24.88,64.64
67,224,76,97,587.72,8.838,22,28,63.683334,643,37.07,32.65,24.06,285.8,0.0,0.008382643,24.91,65.32
68,224,77,97,598.07,8.839,22,28,63.199,829:56:0,37.07,32.65,24.06,284.1,0.0,0.008505917,24.95,65.42
69,224,77,98,606.41,8.838,22,28,62.387,512:19:0,37.07,32.65,24.06,282.3,0.0,0.008629192,24.98,65.51
70,224,77,99,615.58,8.838,22,28,61.225,521:24:0,37.07,32.65,,280.5,0.0,0.008752465,24.99,65.65
71,224,77,98,625.82,8.838,22,28,60.333,510,37.07,32.65,,278.8,0.0,0.00887574,24.95,65.85
72,223,77,98,633.68,8.837,22,28,59.487,795:6:54,37.07,32.65,,277.2,0.0,0.008999013,24.9,66.08
73,223,76,98,640.3,8.835,22,28,59.262,457:47:0,37.07,32.65,,276.9,0.0,0.009122288,24.85,66.66
74,224,76,101,649.75,8.834,22,28,59.292,526:1:0,37.07,32.65,,276.6,0.0,0.009245562,24.81,67.23
75,224,75,101,659.82,8.834,22,29,59.731,489:29:6,37.07,32.65,,275.9,0.0,0.009368836,24.75,67.54
76,224,75,102,667.24,8.835,22,29,60.248,370:36:0,37.07,32.7,,274.9,0.0,0.00949211,24.68,67.67
77,224,75,102,677.95,8.835,22,29,60.565,462:15:0,37.07,32.65,,274.2,0.0,0.009615385,24.6,67.82
78,224,76,102,687.95,8.835,22,28,60.527,437,37.07,32.65,,274.6,0.0,0.009738659,24.5,67.99
79,224,77,102,696.23,8.837,22,28,61.209,,37.07,32.65,,274.9,0.0,0.009861933,24.4,68.17
80,224,77,103,704.49,8.837,22,28,62.363,,37.07,32.7,,275.4,0.0,0.009985207,24.3,68.35
81,223,77,105,712.98,8.838,22,28,63.672,2256,37.07,32.7,24.06,279.2,0.0,0.010108481,24.09,68.66
82,223,76,105,721.84,8.838,22,28,64.511,2352,37.07,32.7,24.06,282.9,0.0,0.010231756,23.88,68.97
83,224,76,104,730.59,8.837,22,28,64.917,698,37.07,32.7,24.06,283.7,0.0,0.010355029,23.76,68.97
84,224,76,103,739.32,8.837,22,28,65.203,870,37.07,32.7,24.06,283.1,0.0,0.010478304,23.66,68.84
85,224,75,102,749.2,8.838,22,29,65.698,748,37.07,32.7,,282.5,0.0,0.010601578,23.57,68.71
86,224,75,103,758.33,8.837,22,29,66.54,587:44:47,37.07,32.7,,281.5,0.0,0.010724852,23.5,68.52
87,225,76,103,766.61,8.837,22,28,67.509,547:42:0,37.07,32.7,,280.0,0.0,0.010848126,23.45,68.26
88,225,77,103,774.89,8.837,22,28,68.226,456,37.07,32.7,,278.8,0.0,0.0109714,23.53,68.13
89,224,77,104,784.39,8.838,22,28,68.656,531:40:0,37.07,32.7,,277.9,0.0,0.0110946745,23.69,68.06
90,223,76,104,793.52,8.837,22,28,69.102,496:42:33,37.07,32.7,,277.2,0.0,0.011217949,23.84,68.01
91,224,76,105,801.36,8.837,22,28,69.873,509,37.07,32.7,,278.8,0.0,0.011341223,23.94,68.18
92,224,76,105,809.25,8.837,22,28,70.527,518:1:42,37.07,32.7,,280.5,0.0,0.011464497,24.04,68.34
93,224,77,105,819.1,8.838,22,28,70.87,526:35:0,37.07,32.7,,282.1,0.0,0.011587772,24.14,68.51
94,224,77,106,828.71,8.837,22,28,71.439,526,37.07,32.7,,283.5,0.0,0.011711045,24.25,68.52
95,225,77,106,836.96,8.837,22,28,72.142,530:0:0,37.07,32.7,27.74,284.3,0.0,0.01183432,24.39,68.07
96,225,78,106,845.22,8.837,22,28,72.508,544:43:0,37.07,32.7,27.74,285.1,0.0,0.011957593,24.52,67.62
97,225,78,105,853.5,8.837,22,28,72.722,530:48:0,37.07,32.7,27.74,284.6,0.0,0.012080868,24.67,66.68
98,224,78,104,861.81,8.837,22,27,72.674,540:51:0,37.07,32.7,27.74,283.4,0.0,0.012204142,24.83,65.48
99,224,78,106,870.11,8.837,22,27,72.442,537:51:0,37.07,32.75,27.94,282.2,0.0,0.012327416,24.97,65.16
100,224,78,106,879.05,8.838,22,27,72.105,545:55:0,37.07,32.7,27.94,281.0,0.0,0.01245069,25.09,65.3
101,224,78,104,887.91,8.838,22,27,71.427,537,37.08,32.7,27.94,279.9,0.0,0.012573965,25.21,65.43
102,224,78,106,897.76,8.838,22,27,70.486,554:57:0,37.08,32.7,27.94,279.4,0.0,0.0126972385,25.34,65.68
103,224,78,105,907.37,8.837,22,27,69.506,535:56:0,37.08,32.75,27.94,279.5,0.0,0.012820513,25.49,66.02
104,224,79,104,916.87,8.838,22,27,68.502,549:57:0,37.08,32.75,28.47,282.3,0.0,0.012943787,25.62,66.8
105,225,79,105,926.01,8.837,22,27,67.365,544:41:0,37.08,32.75,28.47,287.1,0.0,0.013067061,25.73,67.96
106,225,79,107,933.83,8.837,22,27,66.567,531:52:0,37.08,32.75,28.47,286.7,0.0,0.013190336,25.68,67.4
107,225,79,107,942.16,8.837,22,27,66.078,534:43:0,37.08,32.7,28.47,286.0,0.0,0.013313609,25.62,66.75
108,225,80,107,952.04,8.838,22,27,65.678,535:44:0,37.08,32.75,28.47,285.6,0.0,0.013436884,25.58,66.49
109,224,81,106,960.74,8.838,22,26,65.323,541:19:0,37.08,32.75,27.64,285.2,0.0,0.013560158,25.54,66.23
110,224,82,105,969.09,8.837,22,26,64.955,564,37.08,32.7,27.64,290.7,0.0,0.013683432,25.41,66.47
111,223,81,105,977.76,8.837,22,26,64.75,573:14:0,37.08,32.75,27.64,298.1,0.0,0.013806706,25.25,66.88
112,223,80,105,986.02,8.837,22,27,64.706,550,37.08,32.75,27.64,299.3,0.0,0.01392998,25.11,66.75
113,224,80,106,994.3,8.837,22,27,64.755,,37.08,32.75,27.64,298.9,0.0,0.014053254,24.99,66.48
114,224,80,106,1003.82,8.838,22,27,64.967,,37.08,32.75,27.64,296.7,0.0,0.014176529,24.77,66.31
115,224,80,106,1012.95,8.837,22,27,65.464,,37.09,32.75,27.64,293.4,0.0,0.0142998025,24.48,66.22
116,224,80,106,1021.21,8.837,22,27,66.271,,37.09,32.75,27.64,292.4,0.0,0.014423077,24.43,66.24
117,224,80,106,1029.5,8.837,22,27,66.995,,37.09,32.75,,291.9,0.0,0.0145463515,24.43,66.29
118,224,80,106,1039.55,8.835,22,27,67.593,,37.09,32.75,,291.4,0.0,0.014669625,24.43,66.33
119,224,81,0,1049.82,8.835,22,26,68.077,,37.09,32.75,,291.0,0.0,0.0147929,24.43,66.38
120,224,81,0,1058.49,8.837,22,26,68.27,,37.09,32.75,,290.0,0.0,0.014916173,24.37,66.38
121,224,81,0,1066.3,8.837,22,26,68.159,,37.09,32.75,,288.6,0.0,0.015039448,24.27,66.34
122,223,80,0,1073.27,8.837,22,27,67.848,5000,37.09,32.75,,287.3,0.0,0.015162722,24.16,66.31
123,223,80,0,1081.05,8.837,22,27,67.712,,37.09,32.75,,286.9,0.0,0.015285996,23.97,66.03
