time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,skin_temperature,respiration,tidal_volume,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,0,,91,,,,,67.329094,37.08,,,,0.0,0.0,,
1,224,73,91,0.0,8.839,,29,66.823,37.08,32.55,,204.0,0.0,1.2807376E-4,8.752,40.52
2,223,72,92,5.75,8.837,20,30,66.068,37.08,32.6,,204.9,0.0,2.5614753E-4,9.165,40.87
3,223,71,93,14.67,8.838,20,30,65.401,37.08,32.55,,205.8,0.0,3.8422132E-4,9.578,41.22
4,223,71,94,22.72,8.835,20,30,65.426,37.08,32.55,,206.6,0.0,5.1229505E-4,9.991,41.58
5,223,70,94,31.66,8.837,20,30,65.984,37.08,32.55,24.8,207.7,0.0,6.4036885E-4,10.47,41.99
6,224,69,94,40.6,8.837,20,31,66.701,37.08,32.55,24.8,208.8,0.0,7.6844264E-4,11.03,42.46
7,224,69,95,49.14,8.838,20,31,67.378,37.08,32.55,24.8,210.0,0.0,8.965164E-4,11.58,42.93
8,224,69,96,57.4,8.836,20,31,68.139,37.08,32.55,24.8,211.0,0.0,0.0010245901,12.04,43.32
9,223,69,97,66.87,8.837,20,31,68.905,37.08,32.55,24.8,211.8,0.0,0.001152664,12.4,43.63
10,224,68,97,75.85,8.837,20,31,69.526,37.08,32.55,24.8,212.5,0.0,0.0012807377,12.75,43.93
11,224,68,97,85.5,8.838,21,31,70.029,37.08,32.55,26.57,213.3,0.0,0.0014088114,13.11,44.24
12,224,68,98,93.11,8.835,21,31,70.371,37.08,32.55,26.57,214.0,0.0,0.0015368853,13.47,44.55
13,224,68,98,102.05,8.837,21,31,70.537,37.08,32.55,26.57,215.3,0.0,0.001664959,14.05,45.04
14,224,69,98,111.04,8.837,21,31,70.659,37.08,32.6,26.57,216.6,0.0,0.0017930327,14.66,45.56
15,224,69,99,120.69,8.838,21,31,70.764,37.08,32.55,26.57,217.8,0.0,0.0019211066,15.24,46.06
16,223,68,99,128.3,8.835,21,31,70.665,37.08,32.6,25.59,218.9,0.0,0.0020491802,15.76,46.5
17,223,68,100,137.25,8.837,21,31,70.421,37.08,32.55,25.59,220.0,0.0,0.002177254,16.27,46.93
18,223,67,100,147.59,8.839,21,32,70.08,37.08,32.55,25.59,221.1,0.0,0.002305328,16.78,47.37
19,223,67,101,155.19,8.835,21,32,69.701,37.08,32.55,25.59,221.7,0.0,0.0024334015,17.07,47.61
20,223,66,102,163.49,8.837,21,32,69.265,37.08,32.55,24.93,222.3,0.0,0.0025614754,17.35,47.85
21,224,66,103,173.45,8.839,21,32,68.509,37.08,32.6,24.93,222.9,0.0,0.0026895492,17.63,48.09
22,224,66,103,181.89,8.835,21,32,67.799,37.08,32.55,24.93,223.5,0.0,0.0028176229,17.9,48.33
23,225,67,104,189.68,8.836,21,32,67.465,37.08,32.55,24.93,224.0,0.0,0.0029456967,18.18,48.57
24,225,68,105,199.29,8.838,21,32,67.442,37.08,32.55,24.93,224.7,0.0,0.0030737706,18.48,48.82
25,225,70,106,209.68,8.839,21,31,67.615,37.08,32.55,23.71,226.1,0.0,0.0032018442,19.14,49.38
26,225,69,107,218.69,8.837,21,31,67.84556,37.08,32.55,23.71,227.5,0.0,0.003329918,19.79,49.94
27,224,69,107,225.6,8.835,21,31,67.94,37.08,32.55,23.71,229.1,0.0,0.0034579919,20.41,50.58
28,224,69,107,234.55,8.837,21,31,67.841,37.08,32.55,23.71,230.9,0.0,0.0035860655,21.01,51.3
29,224,70,107,243.03,8.837,21,31,67.793,37.08,32.55,23.71,232.3,0.0,0.0037141393,21.48,51.89
30,224,70,107,252.79,8.838,21,31,67.695,37.08,32.55,23.71,233.6,0.0,0.0038422132,21.87,52.39
31,224,70,107,260.78,8.835,21,31,67.52,37.08,32.55,25.25,234.8,0.0,0.003970287,22.26,52.89
32,223,69,107,269.12,8.837,21,31,67.078,37.08,32.55,25.25,237.1,0.0,0.0040983604,22.94,53.82
33,223,68,108,279.69,8.839,21,31,66.319,37.08,32.55,25.25,239.6,0.0,0.0042264345,23.66,54.83
