time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,215,66,80,8.83,8.827,25,31,,36.91,32.4,16.8,102.0,18.0,0.0,0.0,1.7132089E-4,16.8,18.0
1,216,66,80,17.65,8.827,25,31,707,36.91,31.7,19.0,80.0,21.0,0.0,0.0,3.4264178E-4,19.0,21.0
2,214,65,82,26.48,8.827,25,31,694:699,36.91,31.7,19.0,80.0,21.0,0.0,0.0,5.1396264E-4,19.0,21.0
3,214,64,82,35.31,8.827,25,32,703,36.91,31.7,23.9,87.0,25.0,0.0,0.0,6.8528356E-4,23.9,25.0
4,217,64,83,44.13,8.827,25,32,703,36.91,31.7,27.2,79.0,23.0,0.0,0.0,8.566044E-4,27.2,23.0
5,217,64,83,52.96,8.827,25,32,705:718,36.91,31.7,27.2,79.0,23.0,0.0,0.0,0.0010279253,27.2,23.0
6,215,64,83,61.79,8.827,25,32,718:714,36.91,31.7,27.2,79.0,23.0,0.0,0.0,0.0011992462,27.2,23.0
7,217,64,83,70.61,8.827,25,32,711,36.91,31.7,28.9,74.0,22.0,0.0,0.0,0.0013705671,28.9,22.0
8,217,65,83,79.44,8.827,25,32,713,36.91,31.7,29.4,76.0,23.0,0.0,0.0,0.001541888,29.4,23.0
9,216,65,84,88.27,8.827,25,32,703:703,36.91,31.7,29.4,82.0,25.0,0.0,0.0,0.0017132089,29.4,25.0
10,216,65,84,97.1,8.827,25,32,684,36.91,31.7,30.4,99.0,31.0,0.0,0.0,0.0018845297,30.4,31.0
11,215,66,85,105.92,8.827,25,31,680:679,36.91,31.7,30.4,99.0,31.0,0.0,0.0,0.0020558506,30.4,31.0
12,216,65,85,114.75,8.827,25,32,,36.91,31.7,30.4,117.0,37.0,0.0,0.0,0.0022271716,30.4,37.0
13,216,65,84,123.58,8.827,25,32,689:656,36.91,31.7,30.4,133.0,43.0,0.0,0.0,0.0023984923,30.4,43.0
14,218,65,85,132.41,8.827,25,32,658,36.91,31.7,30.4,133.0,43.0,0.0,0.0,0.0025698133,30.4,43.0
15,215,66,86,141.23,8.827,24,31,671:663,36.91,31.7,30.4,133.0,43.0,0.0,0.0,0.0027411343,30.4,43.0
16,214,67,87,150.06,8.827,24,31,660,36.91,31.7,30.9,518.0,160.0,0.0,0.0,0.002912455,30.9,160.0
17,214,65,88,158.89,8.827,24,31,660:654,36.91,31.7,30.9,518.0,160.0,0.0,0.0,0.003083776,30.9,160.0
18,216,64,88,167.74,8.827,24,32,652,36.91,31.7,30.8,355.0,99.0,0.0,0.0,0.0032550967,30.8,99.0
19,215,64,89,176.54,8.827,24,32,652:644,36.91,31.7,30.8,355.0,99.0,0.0,0.0,0.0034264177,30.8,99.0
20,218,64,90,185.37,8.827,24,33,640,36.91,31.7,28.1,252.0,69.0,0.0,0.0,0.0035977385,28.1,69.0
21,218,66,91,194.19,8.827,24,32,632:629,36.91,31.7,28.1,119.0,24.0,0.0,0.0,0.0037690594,28.1,24.0
22,216,66,92,203.03,8.827,24,31,640:620,36.91,31.7,29.1,95.0,26.0,0.0,0.0,0.00394038,29.1,26.0
23,214,66,93,211.84,8.827,24,31,620,36.91,31.7,29.1,46.0,21.0,0.0,0.0,0.004111701,29.1,21.0
24,214,65,94,220.67,8.827,24,31,612:607,36.91,31.7,29.9,44.0,18.0,0.0,0.0,0.004283022,29.9,18.0
25,216,65,95,229.5,8.827,24,32,605,36.91,31.7,30.3,43.0,19.0,0.0,0.0,0.004454343,30.3,19.0
26,215,65,96,238.32,8.818,24,32,601:593,36.91,31.75,30.3,43.0,19.0,0.0,0.0,0.004625664,30.3,19.0
27,215,65,97,247.14,8.827,24,32,593:584,36.91,31.7,35.1,83.0,30.0,0.0,0.0,0.0047969846,35.1,30.0
28,215,63,98,255.97,8.827,24,33,586,36.91,31.7,35.1,108.0,37.0,0.0,0.0,0.0049683056,35.1,37.0
29,217,63,99,264.8,8.827,24,33,574:582,36.91,31.7,35.1,130.0,45.0,0.0,0.0,0.0051396266,35.1,45.0
30,218,64,101,273.62,8.827,24,33,569:569,36.91,31.75,32.9,207.0,69.0,0.0,0.0,0.0053109475,32.9,69.0
31,216,64,102,282.45,8.827,24,32,559:563,36.91,31.7,32.9,227.0,72.0,0.0,0.0,0.0054822685,32.9,72.0
32,215,64,103,291.29,8.827,24,32,565,36.91,31.7,32.9,227.0,72.0,0.0,0.0,0.005653589,32.9,72.0
33,216,64,103,300.11,8.827,24,32,574:559,36.91,31.7,32.9,273.0,87.0,0.0,0.0,0.00582491,32.9,87.0
34,219,65,104,308.94,8.827,24,32,561:563,36.91,31.7,31.7,272.0,75.0,0.0,0.0,0.005996231,31.7,75.0
35,218,66,105,317.76,8.827,24,32,565:563,36.91,31.7,31.7,271.0,63.0,0.0,0.0,0.006167552,31.7,63.0
36,216,68,105,326.58,8.827,24,30,559,36.91,31.7,28.7,172.0,40.0,0.0,0.0,0.0063388725,28.7,40.0
37,212,68,105,335.41,8.827,24,30,565:561,36.91,31.7,28.7,172.0,40.0,0.0,0.0,0.0065101935,28.7,40.0
38,215,66,106,344.24,8.827,24,31,559:563,36.91,31.7,27.5,146.0,36.0,0.0,0.0,0.0066815144,27.5,36.0
39,216,66,106,353.06,8.827,24,31,559:559,36.91,31.75,27.5,84.0,22.0,0.0,0.0,0.0068528354,27.5,22.0
40,216,66,107,361.89,8.827,24,31,559:554,36.94,31.7,26.9,98.0,27.0,0.0,0.0,0.0070241564,26.9,27.0
41,218,66,107,370.72,8.827,24,32,559,36.94,31.75,26.9,95.0,30.0,0.0,0.0,0.007195477,26.9,30.0
42,218,67,107,379.54,8.827,24,31,559:555,36.94,31.75,32.8,119.0,43.0,0.0,0.0,0.007366798,32.8,43.0
43,217,69,107,388.38,8.827,24,30,550:546,36.94,31.7,32.8,126.0,48.0,0.0,0.0,0.007538119,32.8,48.0
44,215,69,108,397.2,8.827,24,30,537:546,36.94,31.75,32.8,126.0,48.0,0.0,0.0,0.00770944,32.8,48.0
45,216,69,108,406.03,8.827,24,30,563,36.94,31.7,32.8,126.0,53.0,0.0,0.0,0.00788076,32.8,53.0
46,216,68,108,414.86,8.827,24,30,504:629,36.94,31.7,37.2,292.0,123.0,0.0,0.0,0.008052082,37.2,123.0
47,218,69,108,423.68,8.827,24,30,550:554,36.95,31.75,37.2,292.0,123.0,0.0,0.0,0.008223402,37.2,123.0
48,216,69,108,432.54,8.827,24,30,531:555,36.95,31.7,37.2,273.0,104.0,0.0,0.0,0.008394724,37.2,104.0
49,215,69,108,441.37,8.827,24,30,555:565,36.95,31.75,37.2,273.0,104.0,0.0,0.0,0.008566044,37.2,104.0
50,215,69,108,450.17,8.827,24,30,558:559,36.95,31.75,39.0,269.0,100.0,0.0,0.0,0.008737365,39.0,100.0
51,214,68,108,458.99,8.827,24,30,563,36.95,31.75,39.0,207.0,68.0,0.0,0.0,0.008908686,39.0,68.0
52,216,67,108,467.81,8.827,24,31,559:555,36.95,31.7,35.0,292.0,84.0,0.0,0.0,0.009080007,35.0,84.0
53,216,67,108,476.64,8.827,24,31,555:561,36.95,31.7,35.0,292.0,84.0,0.0,0.0,0.009251328,35.0,84.0
54,216,67,108,485.47,8.827,24,31,559,36.95,31.75,31.5,295.0,87.0,0.0,0.0,0.009422649,31.5,87.0
55,216,68,108,494.29,8.827,24,30,555:559:559,36.95,31.75,31.5,311.0,85.0,0.0,0.0,0.009593969,31.5,85.0
56,215,68,108,503.15,8.827,24,30,559:554,36.95,31.7,31.5,311.0,85.0,0.0,0.0,0.009765291,31.5,85.0
57,217,68,108,511.96,8.827,24,30,550:550,36.95,31.75,27.9,237.0,68.0,0.0,0.0,0.009936611,27.9,68.0
58,217,68,108,520.77,8.827,24,30,555,36.95,31.75,27.9,237.0,68.0,0.0,0.0,0.010107933,27.9,68.0
59,217,68,108,529.6,8.827,24,30,559:550,36.95,31.75,26.4,202.0,49.0,0.0,0.0,0.010279253,26.4,49.0
60,216,70,108,538.44,8.827,24,29,546:550,36.95,31.75,26.4,202.0,49.0,0.0,0.0,0.010450574,26.4,49.0
61,213,69,108,547.25,8.827,24,29,555:550,36.95,31.75,26.4,202.0,49.0,0.0,0.0,0.010621895,26.4,49.0
62,214,69,109,556.08,8.827,24,30,542,36.95,31.75,23.9,211.0,51.0,0.0,0.0,0.010793216,23.9,51.0
63,217,68,109,564.91,8.827,24,30,538:546,36.95,31.75,23.9,211.0,51.0,0.0,0.0,0.010964537,23.9,51.0
64,215,68,109,573.74,8.827,24,30,550:555,36.95,31.75,23.9,188.0,45.0,0.0,0.0,0.011135858,23.9,45.0
65,215,68,109,582.57,8.827,24,30,555:550,36.95,31.75,23.9,188.0,45.0,0.0,0.0,0.011307178,23.9,45.0
66,217,68,109,591.39,8.827,24,30,546:550,36.95,31.75,23.9,188.0,39.0,0.0,0.0,0.0114784995,23.9,39.0
67,218,68,109,600.22,8.827,24,31,555,36.95,31.75,23.9,188.0,32.0,0.0,0.0,0.01164982,23.9,32.0
68,213,69,109,609.04,8.827,24,29,550:550,36.95,31.75,22.7,180.0,34.0,0.0,0.0,0.011821141,22.7,34.0
69,216,68,109,617.87,8.827,24,30,550:555,36.95,31.75,22.7,180.0,34.0,0.0,0.0,0.011992462,22.7,34.0
70,217,68,109,626.7,8.827,24,30,554:546,36.95,31.75,22.7,170.0,37.0,0.0,0.0,0.0121637825,22.7,37.0
71,215,68,109,635.52,8.827,24,30,550:555,36.95,31.75,22.7,162.0,40.0,0.0,0.0,0.012335104,22.7,40.0
72,218,68,109,644.36,8.827,24,31,550:550,36.95,31.75,22.7,162.0,40.0,0.0,0.0,0.012506424,22.7,40.0
73,219,68,109,653.18,8.827,24,31,546:542,36.95,31.75,23.1,164.0,45.0,0.0,0.0,0.012677745,23.1,45.0
74,215,69,109,662.03,8.827,24,30,546,36.95,31.75,23.1,164.0,45.0,0.0,0.0,0.012849066,23.1,45.0
75,215,69,109,670.83,8.827,24,30,550:555,36.96,31.75,23.1,175.0,44.0,0.0,0.0,0.013020387,23.1,44.0
76,218,69,109,679.67,8.827,24,30,550:546,36.96,31.75,21.4,249.0,52.0,0.0,0.0,0.013191708,21.4,52.0
77,217,69,109,688.48,8.827,24,30,550:542,36.96,31.75,21.4,249.0,52.0,0.0,0.0,0.013363029,21.4,52.0
78,213,69,109,697.31,8.827,24,29,555,36.96,31.75,21.4,323.0,60.0,0.0,0.0,0.013534349,21.4,60.0
79,217,69,109,706.16,8.827,24,30,550:554,36.96,31.75,21.4,289.0,54.0,0.0,0.0,0.013705671,21.4,54.0
80,216,68,109,714.96,8.827,24,30,550:550,36.96,31.75,21.4,289.0,54.0,0.0,0.0,0.013876991,21.4,54.0
81,216,68,109,723.79,8.827,24,30,555:546,36.96,31.75,23.5,241.0,54.0,0.0,0.0,0.014048313,23.5,54.0
82,216,68,109,732.62,8.827,24,30,542:550,36.96,31.75,23.5,241.0,54.0,0.0,0.0,0.014219633,23.5,54.0
83,214,68,109,741.45,8.827,24,30,555,36.96,31.75,23.5,241.0,54.0,0.0,0.0,0.014390954,23.5,54.0
84,216,67,109,750.27,8.827,24,31,555:550,36.96,31.75,21.9,278.0,67.0,0.0,0.0,0.014562275,21.9,67.0
85,215,67,109,759.12,8.827,24,31,555:555,36.96,31.75,21.9,278.0,67.0,0.0,0.0,0.014733596,21.9,67.0
86,215,67,109,767.93,8.827,24,31,554:550,36.96,31.75,21.5,251.0,57.0,0.0,0.0,0.014904917,21.5,57.0
87,217,67,109,776.75,8.827,24,31,550:546,36.96,31.8,21.5,251.0,57.0,0.0,0.0,0.015076238,21.5,57.0
88,217,67,109,785.58,8.827,24,31,555:559,36.96,31.8,21.5,251.0,57.0,0.0,0.0,0.015247558,21.5,57.0
89,218,69,109,794.41,8.827,24,30,550:555,36.96,31.8,21.5,172.0,41.0,0.0,0.0,0.01541888,21.5,41.0
90,215,69,109,803.23,8.827,24,30,550,36.96,31.75,22.5,213.0,48.0,0.0,0.0,0.0155902,22.5,48.0
91,214,69,109,812.06,8.827,24,30,546:546,36.96,31.8,22.5,253.0,55.0,0.0,0.0,0.01576152,22.5,55.0
92,215,68,109,820.9,8.827,24,30,550:550,36.96,31.8,22.5,253.0,55.0,0.0,0.0,0.015932843,22.5,55.0
93,218,69,109,829.71,8.827,24,30,555,36.96,31.8,22.5,253.0,55.0,0.0,0.0,0.016104164,22.5,55.0
94,216,69,109,838.55,8.827,24,30,546:538:538,36.96,31.8,22.5,272.0,49.0,0.0,0.0,0.016275484,22.5,49.0
95,216,70,109,847.38,8.827,24,29,555,36.96,31.8,22.5,291.0,43.0,0.0,0.0,0.016446805,22.5,43.0
96,217,70,109,856.19,8.827,24,30,550:555,36.96,31.75,22.5,291.0,43.0,0.0,0.0,0.016618125,22.5,43.0
97,216,71,109,865.02,8.827,24,29,550:559,36.96,31.8,20.3,324.0,52.0,0.0,0.0,0.016789448,20.3,52.0
98,215,71,109,873.85,8.827,24,29,550:550,36.96,31.8,20.3,324.0,52.0,0.0,0.0,0.016960768,20.3,52.0
99,214,71,109,882.67,8.827,24,29,550:559,36.96,31.8,20.3,356.0,61.0,0.0,0.0,0.017132089,20.3,61.0
100,214,68,109,891.5,8.827,24,30,559,36.97,31.8,20.3,356.0,61.0,0.0,0.0,0.017303409,20.3,61.0
101,218,68,108,900.33,8.827,24,31,559:555,36.97,31.8,18.5,310.0,53.0,0.0,0.0,0.01747473,18.5,53.0
102,218,68,108,909.15,8.827,24,31,559:561,36.97,31.8,18.5,235.0,50.0,0.0,0.0,0.017646052,18.5,50.0
103,215,68,108,917.98,8.827,24,30,550:559,36.97,31.8,18.5,235.0,50.0,0.0,0.0,0.017817372,18.5,50.0
104,214,68,108,926.81,8.827,24,30,563:563,36.97,31.8,18.5,235.0,50.0,0.0,0.0,0.017988693,18.5,50.0
105,218,67,108,935.64,8.827,24,31,558:555,36.97,31.8,19.9,227.0,52.0,0.0,0.0,0.018160013,19.9,52.0
106,215,67,108,944.47,8.827,24,31,559,36.97,31.8,19.9,209.0,56.0,0.0,0.0,0.018331334,19.9,56.0
107,217,68,107,953.29,8.827,24,30,563:563,36.97,31.8,19.9,209.0,56.0,0.0,0.0,0.018502656,19.9,56.0
108,215,68,107,962.12,8.827,24,30,559:558,36.97,31.8,21.8,203.0,50.0,0.0,0.0,0.018673977,21.8,50.0
109,216,68,108,970.94,8.827,24,30,555:559,36.97,31.8,21.8,203.0,50.0,0.0,0.0,0.018845297,21.8,50.0
110,215,67,107,979.77,8.827,24,31,569,36.97,31.8,21.8,195.0,44.0,0.0,0.0,0.019016618,21.8,44.0
