time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,hrv,core_temperature,skin_temperature,respiration,tidal_volume,tidal_volume_min,heat_strain_index,HeatStrainIndex,PercentageinZ2,TymeBreathRate,TymeVentilation
0,216,70,94,0.0,0.0,25,29,,37.09,,18.2,148.0,29.0,0.0,0.0,2.3078699E-4,18.2,29.0
1,215,69,95,8.84,8.827,25,30,582:644,37.09,,18.2,148.0,29.0,0.0,0.0,4.6157397E-4,18.2,29.0
2,214,69,97,17.65,8.827,25,30,531,37.09,,18.2,201.0,42.0,0.0,0.0,6.92361E-4,18.2,42.0
3,213,69,96,26.49,8.827,25,29,688:620,37.09,,17.7,149.0,31.0,0.0,0.0,9.2314795E-4,17.7,31.0
4,213,65,99,35.32,8.827,25,31,612:512,37.09,,17.7,149.0,31.0,0.0,0.0,0.0011539349,17.7,31.0
5,217,65,97,44.13,8.827,25,32,722,37.09,,19.2,129.0,29.0,0.0,0.0,0.001384722,19.2,29.0
6,216,64,98,52.96,8.827,25,32,637:601,37.09,,19.2,93.0,22.0,0.0,0.0,0.0016155089,19.2,22.0
7,217,64,98,61.8,8.827,25,32,612,37.09,,22.9,109.0,28.0,0.0,0.0,0.0018462959,22.9,28.0
8,217,66,98,70.61,8.827,25,31,601:605,37.09,,22.9,115.0,33.0,0.0,0.0,0.0020770829,22.9,33.0
9,219,66,98,79.44,8.827,25,32,609,37.09,32.3,22.9,115.0,33.0,0.0,0.0,0.0023078697,22.9,33.0
10,218,66,101,88.27,8.827,25,32,624:620,37.09,32.3,22.9,141.0,40.0,0.0,0.0,0.0025386568,22.9,40.0
11,214,67,101,97.1,8.827,25,31,620:633,37.09,32.3,22.9,141.0,40.0,0.0,0.0,0.002769444,22.9,40.0
12,214,67,100,105.94,8.827,25,31,629,37.09,32.3,22.9,141.0,20.0,0.0,0.0,0.0030002308,22.9,20.0
13,218,67,102,114.75,8.827,25,31,616,37.09,32.25,22.9,141.0,20.0,0.0,0.0,0.0032310179,22.9,20.0
14,215,66,101,123.58,8.827,25,31,624:601,37.09,32.25,22.2,141.0,24.0,0.0,0.0,0.0034618047,22.2,24.0
15,217,66,102,132.41,8.827,25,31,644:586,37.09,32.25,22.2,141.0,24.0,0.0,0.0,0.0036925918,22.2,24.0
16,217,67,102,141.23,8.827,25,31,,37.09,32.25,25.1,141.0,30.0,0.0,0.0,0.003923379,25.1,30.0
17,215,67,102,150.07,8.827,25,31,605,37.09,32.2,25.1,142.0,35.0,0.0,0.0,0.0041541657,25.1,35.0
18,214,68,102,158.88,8.827,25,30,565,37.09,32.25,25.4,131.0,34.0,0.0,0.0,0.0043849526,25.4,34.0
19,216,66,102,167.74,8.827,25,31,765,37.09,32.25,26.2,116.0,40.0,0.0,0.0,0.0046157395,26.2,40.0
20,217,66,102,176.55,8.827,25,31,573:586,37.09,32.2,33.3,117.0,42.0,0.0,0.0,0.004846527,33.3,42.0
21,215,66,103,185.36,8.827,25,31,578,37.09,32.2,33.3,108.0,41.0,0.0,0.0,0.0050773136,33.3,41.0
22,211,66,101,194.2,8.827,25,31,750,37.09,32.2,33.3,108.0,41.0,0.0,0.0,0.0053081005,33.3,41.0
23,216,64,101,203.02,8.827,25,32,541:601,37.09,32.2,33.3,112.0,42.0,0.0,0.0,0.005538888,33.3,42.0
24,218,63,104,211.84,8.827,25,33,565:574,37.09,32.2,33.3,120.0,41.0,0.0,0.0,0.0057696747,33.3,41.0
25,218,63,104,220.67,8.827,25,33,,37.09,32.2,32.2,234.0,62.0,0.0,0.0,0.0060004615,32.2,62.0
26,218,64,104,229.5,8.827,25,33,564:569,37.09,32.15,32.2,234.0,62.0,0.0,0.0,0.0062312484,32.2,62.0
27,215,65,104,238.32,8.827,25,32,593:563,37.09,32.2,34.5,241.0,72.0,0.0,0.0,0.0064620357,34.5,72.0
28,215,66,104,247.15,8.827,25,31,,37.09,32.2,34.2,239.0,76.0,0.0,0.0,0.0066928226,34.2,76.0
29,216,64,103,255.98,8.827,25,32,714:563,37.09,32.15,34.2,239.0,76.0,0.0,0.0,0.0069236094,34.2,76.0
30,215,64,104,264.81,8.827,25,32,564:565,37.09,32.15,30.8,171.0,59.0,0.0,0.0,0.0071543963,30.8,59.0
31,218,64,104,273.63,8.827,25,33,,37.09,32.15,30.8,171.0,59.0,0.0,0.0,0.0073851836,30.8,59.0
