time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,smo2,core_temperature,PercentageinZ2,THb,TymeBreathRate,tidal_volume,TymeVentilation,skin_temperature,HeatStrainIndex,hrv
0.0,225.0,73.0,92.0,14.35,8.837,23.0,29.0,70.3,37.05,0.00055066077,67.99272727272727,19.58,159.7,33.78,31.85,0.0,649:44:00
1.0,224.0,73.0,92.0,26.42,8.839,23.0,29.0,71.1,37.05,0.0007342144,65.515,19.63,160.1,33.94,31.85,0.0,643
2.0,224.0,73.0,92.0,35.05,8.839,23.0,29.0,70.8,37.05,0.000917768,65.47444444444444,19.72,160.9,34.21,31.85,0.0,639
3.0,223.0,72.0,92.0,42.91,8.834,23.0,30.0,70.7,37.05,0.0011013215,67.00888888888889,19.84,161.9,34.61,31.85,0.0,649:44:00
4.0,222.0,70.0,93.0,51.51,8.837,23.0,30.0,70.0,37.05,0.0012848752,64.5025,19.96,162.9,34.98,31.85,0.0,653:37:00
5.0,223.0,70.0,93.0,61.93,8.839,23.0,30.0,70.3,37.05,0.0014684288,66.45444444444445,20.07,163.8,35.31,31.85,0.0,642
6.0,224.0,70.0,94.0,71.52,8.838,23.0,31.0,69.6,37.05,0.0016519824,66.574,20.18,164.7,35.63,31.8,0.0,644:30:00
7.0,224.0,70.0,94.0,78.49,8.834,23.0,31.0,70.3,37.05,0.001835536,66.97272727272728,20.27,165.4,35.91,31.85,0.0,625
8.0,224.0,69.0,93.0,88.45,8.838,23.0,31.0,69.4,37.05,0.0020190896,66.77333333333334,20.36,166.2,36.19,31.85,0.0,631:14:00
9.0,225.0,70.0,93.0,97.07,8.837,23.0,31.0,69.4,37.05,0.002202643,66.89727272727272,20.46,167.1,36.52,31.8,0.0,619:03:00
10.0,225.0,71.0,94.0,106.83,8.838,23.0,30.0,69.7,37.05,0.0023861967,66.98400000000001,20.59,168.2,36.93,31.85,0.0,612:03:00
11.0,224.0,72.0,95.0,113.73,8.837,23.0,30.0,68.4,37.05,0.0025697504,67.699,20.71,169.1,37.28,31.85,0.0,603
12.0,223.0,72.0,96.0,123.65,8.837,23.0,30.0,67.9,37.05,0.0027533039,66.892,20.8,169.9,37.57,31.8,0.0,616:09:00
13.0,223.0,71.0,97.0,132.31,8.837,23.0,30.0,67.8,37.05,0.0029368575,66.711,20.89,170.7,37.86,31.8,0.0,515:07:00
14.0,224.0,70.0,98.0,142.28,8.838,23.0,31.0,67.3,37.05,0.0031204112,66.671,21.0,171.6,38.21,31.8,0.0,593
15.0,225.0,71.0,99.0,150.18,8.836,23.0,30.0,67.1,37.05,0.0033039649,66.26,21.12,172.6,38.58,31.8,0.0,600:47:00
16.0,225.0,71.0,99.0,156.82,8.834,23.0,30.0,66.5,37.05,0.0034875183,65.499,21.27,173.3,38.83,31.8,0.0,592:40:00
17.0,224.0,72.0,99.0,165.4,8.839,23.0,30.0,65.7,37.05,0.003671072,64.116,21.42,173.7,39.0,31.8,0.0,580
18.0,223.0,71.0,99.0,177.47,8.838,23.0,30.0,65.1,37.05,0.0038546256,63.273,21.58,174.2,39.18,31.8,0.0,591:38:00
19.0,223.0,70.0,99.0,185.49,8.837,23.0,30.0,63.7,37.05,0.0040381793,64.23111111111112,21.73,174.7,39.35,31.8,0.0,589:35:00
20.0,225.0,70.0,101.0,192.39,8.837,23.0,31.0,62.8,37.05,0.0042217327,63.60272727272727,21.89,175.2,39.56,31.8,0.0,575
21.0,226.0,70.0,102.0,202.38,8.837,23.0,31.0,61.3,37.05,0.004405286,62.559000000000005,22.07,176.1,39.87,31.75,0.0,578:34:00
22.0,225.0,71.0,103.0,210.99,8.839,23.0,30.0,61.6,37.06,0.00458884,62.91111111111112,22.25,176.9,40.18,31.8,0.0,582:32:00
23.0,224.0,72.0,104.0,219.29,8.837,23.0,30.0,60.4,37.06,0.0047723935,63.50636363636364,22.38,177.6,40.44,31.8,0.0,578:26:00
24.0,224.0,72.0,104.0,227.53,8.834,23.0,30.0,60.2,37.06,0.004955947,62.387,22.48,178.2,40.68,31.8,0.0,563
25.0,224.0,72.0,104.0,237.5,8.838,23.0,30.0,59.2,37.06,0.005139501,63.15555555555555,22.59,178.9,40.93,31.8,0.0,572:29:15
26.0,225.0,72.0,104.0,246.15,8.837,23.0,30.0,58.3,37.06,0.0053230543,62.91636363636364,22.67,179.7,41.23,31.8,0.0,550
27.0,224.0,73.0,105.0,256.45,8.839,23.0,29.0,56.8,37.06,0.0055066077,63.273,22.74,180.7,41.61,31.8,0.0,558:07:00
28.0,224.0,72.0,105.0,266.07,8.838,23.0,30.0,56.8,37.06,0.0056901616,63.77,22.81,181.6,41.93,31.75,0.0,554:01:00
29.0,223.0,72.0,106.0,272.69,8.834,23.0,30.0,56.4,37.06,0.005873715,63.467,22.88,182.2,42.16,31.75,0.0,547:00:00
30.0,223.0,71.0,107.0,281.35,8.837,23.0,30.0,56.0,37.06,0.006057269,63.154444444444444,22.94,182.8,42.38,31.8,0.0,539:47:00
31.0,224.0,71.0,109.0,291.7,8.839,23.0,30.0,55.6,37.06,0.0062408224,63.637,23.01,183.4,42.61,31.8,0.0,537:55:00
32.0,224.0,71.0,109.0,301.66,8.838,23.0,30.0,53.2,37.06,0.006424376,63.721818181818186,23.02,184.4,42.98,31.75,0.0,532
