time,watts,cadence,heartrate,distance,velocity_smooth,temp,torque,core_temperature
0,249,67,120,0.0,9.469,,35,38.24
1,250,67,120,4.2,9.466,,36,38.24
2,250,66,120,8.71,9.463,,36,38.24
3,251,65,120,21.36,9.467,,37,38.24
4,252,65,121,30.31,9.465,22,37,38.24
5,252,65,121,39.97,9.467,22,37,38.24
6,251,64,121,48.94,9.465,22,37,38.24
7,252,64,121,59.26,9.469,22,38,38.24
8,254,65,121,68.93,9.467,22,37,38.24
9,256,67,122,77.89,9.465,22,36,38.24
10,254,68,122,88.21,9.469,22,36,38.24
11,252,69,123,97.23,9.468,22,35,38.24
12,252,69,124,104.81,9.467,22,35,38.24
13,251,68,124,115.85,9.468,22,35,38.24
14,250,67,125,126.24,9.466,22,36,38.24
15,249,65,125,134.43,9.466,22,37,38.24
16,250,64,125,145.53,9.465,22,37,38.24
17,251,64,126,154.49,9.465,22,37,38.24
18,252,63,127,163.49,9.468,22,38,38.24
19,255,65,127,171.08,9.467,22,37,38.24
20,256,67,128,181.41,9.469,22,36,38.24
21,254,68,128,191.07,9.467,22,36,38.24
22,252,69,129,200.02,9.465,22,35,38.24
23,251,68,130,210.38,9.469,22,35,38.24
24,250,67,130,220.05,9.467,22,36,38.24
25,251,67,130,228.98,9.465,22,36,38.24
26,253,67,131,239.34,9.469,22,36,38.24
27,253,67,131,249.03,9.467,22,36,38.24
28,251,67,131,257.98,9.465,22,36,38.24
29,251,67,132,267.65,9.467,22,36,38.24
30,251,66,132,276.62,9.465,22,36,38.24
31,252,66,133,285.62,9.468,22,36,38.24
32,252,66,134,293.49,9.466,22,36,38.24
33,252,66,134,304.53,9.467,22,36,
34,253,66,135,313.96,9.469,22,37,
35,253,66,135,321.1,9.467,22,37,
36,254,67,136,332.26,9.469,22,36,
37,253,68,135,343.58,9.466,22,36,
38,251,68,136,351.14,9.467,22,35,
39,251,67,136,362.17,9.468,22,36,
40,251,67,136,372.56,9.466,22,36,
41,250,66,136,380.78,9.466,22,36,
42,251,65,136,390.86,9.466,22,37,
43,252,65,137,397.05,9.467,22,37,
44,253,65,137,409.78,9.468,22,37,
45,253,66,137,420.18,9.466,22,37,
46,252,67,138,427.76,9.467,22,36,
47,252,67,138,437.41,9.467,22,36,
48,252,67,138,446.36,9.465,22,36,
49,252,66,139,456.71,9.469,22,36,
50,252,66,139,466.39,9.467,22,36,
